#{"t_start": 1608115271.7402534, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-220.036258,283,18.042721,1005.884164,-220.036258
-250.268116,248,31.196222,1888.912186,-250.268116
-445.322737,188,40.871063,727.619255,-445.322737
-893.685227,102,46.426946,340.772182,-893.685227
29.971801,335,64.618974,1179.404136,29.971801
109.498078,328,81.787354,1018.507236,109.498078
-156.288252,293,96.948776,917.675097,-156.288252
827.157176,500,123.571091,820.065618,827.157176
72.847676,500,151.719485,755.253762,72.847676
346.562371,369,172.509523,2512.484083,346.562371
-145.816151,306,188.943498,1026.67282,-145.816151
-383.352599,202,200.417975,717.898284,-383.352599
-653.648929,113,206.694534,1475.524551,-653.648929
376.974703,500,235.356076,920.644336,376.974703
149.988554,500,264.166341,392.560408,149.988554
-758.61243,155,273.356179,463.322913,-758.61243
-831.199183,81,278.02377,257.345318,-831.199183
1226.21222,75,282.240405,-734.0379,1226.21222
-686.681553,80,287.239045,1327.662334,-686.681553
574.285477,500,316.568587,1070.562898,574.285477
-547.000208,231,330.164104,697.677892,-547.000208
516.042483,467,358.03024,2962.905246,516.042483
-765.320615,64,361.773937,1285.602233,-765.320615
152.385326,389,384.824299,1333.816905,152.385326
-871.931539,74,389.068013,201.416354,-871.931539
1172.944955,43,391.658173,-833.431515,1172.944955
826.231012,500,421.619474,983.481921,826.231012
575.580353,500,451.292473,782.982469,575.580353
-636.21613,121,458.383079,1508.482204,-636.21613
279.938871,77,463.02731,-848.335339,279.938871
423.015982,500,491.225466,441.994355,423.015982
-368.344511,246,503.976774,698.715872,-368.344511
-421.979306,271,518.169958,975.328997,-421.979306
137.893518,500,546.541233,439.296997,137.893518
-183.073298,242,560.980036,1585.599274,-183.073298
-867.825748,39,563.114454,1168.236648,-867.825748
10.456579,300,580.76333,1172.914107,10.456579
-94.580869,482,609.208129,1390.708494,-94.580869
-335.691776,293,625.84688,753.870835,-335.691776
643.240101,496,653.618097,2928.154988,643.240101
1173.596008,46,656.039216,-837.224024,1173.596008
-164.854798,239,669.095534,1969.805331,-164.854798
-240.358002,327,686.937356,1179.073146,-240.358002
-796.277834,57,689.850417,1235.195529,-796.277834
-400.151277,275,705.142674,2196.738234,-400.151277
-649.223114,243,719.003431,666.570948,-649.223114
-133.415267,347,738.652322,1049.248204,-133.415267
-558.980802,144,746.678829,1594.686673,-558.980802
-909.260223,56,749.623775,183.747095,-909.260223
839.62808,500,778.349507,948.327686,839.62808
1157.078696,45,780.933866,-807.544721,1157.078696
762.077121,500,809.642748,656.768176,762.077121
1174.795849,47,812.390008,-811.72545,1174.795849
725.843922,500,841.287929,740.20103,725.843922
-552.004068,212,852.852498,623.099432,-552.004068
536.346797,488,880.880556,2607.637901,536.346797
-734.505604,142,889.142266,401.882493,-734.505604
198.663793,500,918.328503,354.557667,198.663793
225.435398,394,941.563817,1604.589327,225.435398
-691.67618,121,948.360992,445.124486,-691.67618
1610.056905,149,956.817387,-350.994349,1610.056905
275.56893,500,986.031397,476.130996,275.56893
-564.565334,230,999.66509,851.586884,-564.565334
553.403476,500,1029.132003,1002.480467,553.403476
617.384784,500,1058.539268,682.16594,617.384784
-828.243622,127,1065.742031,298.440185,-828.243622
-235.555344,234,1078.557594,812.507429,-235.555344
148.985738,311,1096.795064,2276.404177,148.985738
-705.125655,114,1103.318095,1426.827976,-705.125655
1144.604424,72,1107.493207,-802.445978,1144.604424
-764.450048,132,1115.356499,414.127818,-764.450048
-886.424678,112,1121.928895,219.403713,-886.424678
-501.372355,157,1131.08196,478.4385,-501.372355
-633.542272,97,1137.029447,1432.778112,-633.542272
-527.443723,251,1151.738664,624.076842,-527.443723
-576.346153,140,1159.788068,553.38749,-576.346153
-185.561123,324,1178.715281,1128.375349,-185.561123
1138.765513,38,1180.69149,-831.023503,1138.765513
-651.40484,114,1186.985519,334.393358,-651.40484
