#{"t_start": 1608115272.760076, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-431.731938,172,10.96619,514.056676,-431.731938
-656.812741,125,17.746394,327.974526,-656.812741
-499.586126,204,28.713233,686.373645,-499.586126
1239.508168,68,32.093085,-735.635234,1239.508168
846.99829,500,59.093539,664.944774,846.99829
862.761926,500,85.182222,869.97041,862.761926
-442.322121,325,101.803645,1028.344569,-442.322121
276.471942,89,106.478985,-778.635044,276.471942
-847.325126,43,108.871823,1179.465589,-847.325126
344.169693,468,134.827731,1503.556119,344.169693
365.680561,500,162.745561,304.826403,365.680561
-242.127358,234,175.766968,1904.874272,-242.127358
-919.310386,67,179.291025,253.107202,-919.310386
41.584835,362,199.534358,1078.699719,41.584835
-730.822896,121,206.262627,370.778091,-730.822896
-614.520537,101,211.75309,1416.08922,-614.520537
-575.794087,192,222.475514,742.063548,-575.794087
183.055042,460,249.888076,1895.51058,183.055042
686.701134,500,278.713631,420.974381,686.701134
-232.198769,276,294.897165,1048.832166,-232.198769
739.38542,500,324.241163,876.580397,739.38542
-193.888827,237,338.064492,1619.508868,-193.888827
228.055217,500,367.988015,433.897126,228.055217
-296.488472,286,385.028526,1198.114745,-296.488472
-847.848415,98,390.740956,390.925186,-847.848415
-509.001961,186,401.374833,543.600252,-509.001961
-139.573015,240,416.129293,802.269527,-139.573015
934.458697,500,446.106931,828.542638,934.458697
-747.690548,144,454.560892,428.216029,-747.690548
-595.625377,196,466.641029,672.413665,-595.625377
-548.69982,153,475.353281,1609.070717,-548.69982
-191.622637,200,486.061455,556.563749,-191.622637
417.096753,500,512.151836,1008.446746,417.096753
-106.563136,331,530.135307,1242.61157,-106.563136
797.427079,500,559.651716,749.971671,797.427079
-501.738391,230,573.231631,640.644001,-501.738391
-437.407221,221,586.32374,693.627971,-437.407221
744.41964,500,615.339648,462.923132,744.41964
-586.984954,179,625.396952,501.036832,-586.984954
225.081523,86,630.253019,-796.436237,225.081523
1288.586757,73,634.526702,-727.805264,1288.586757
-577.95113,144,642.765894,533.667649,-577.95113
521.608949,500,669.796219,1060.383113,521.608949
-589.648573,147,677.919406,495.01356,-589.648573
-382.028187,284,692.978603,1109.4173,-382.028187
1054.379548,500,721.526762,488.691577,1054.379548
-666.710376,164,730.636939,423.423212,-666.710376
164.582487,43,733.207626,-815.9807,164.582487
-864.893104,40,735.527453,1164.537419,-864.893104
66.010206,336,754.515503,1273.923284,66.010206
-790.855084,100,759.990542,403.996001,-790.855084
-688.758845,112,766.46943,408.269063,-688.758845
-132.856783,372,787.802595,822.382149,-132.856783
162.983938,70,791.662994,-835.018607,162.983938
169.415395,57,794.789194,-838.741332,169.415395
1385.501113,114,801.410989,-597.203004,1385.501113
-667.305761,149,810.205219,538.915507,-667.305761
683.89036,500,839.196222,553.207341,683.89036
306.61515,500,866.769554,363.620656,306.61515
-795.023631,56,869.911705,1221.212143,-795.023631
-830.700595,78,874.771652,329.748274,-830.700595
569.655798,500,903.659969,613.044077,569.655798
-756.411659,137,911.78572,416.362424,-756.411659
591.825945,500,941.358241,764.844337,591.825945
-911.763739,71,945.252539,174.111693,-911.763739
249.359292,500,974.448763,533.165874,249.359292
-687.473527,135,982.261395,445.841105,-687.473527
-856.988245,43,984.660178,1169.147246,-856.988245
249.935056,343,1004.937277,2387.150287,249.935056
-846.984253,44,1007.509574,1172.921542,-846.984253
-255.461007,244,1022.002127,870.497299,-255.461007
-755.446938,95,1027.576867,288.310357,-755.446938
-388.888994,226,1040.594599,359.133545,-388.888994
9.365803,325,1059.822923,1056.957692,9.365803
-278.178383,227,1072.370861,820.330686,-278.178383
-836.797648,45,1074.880957,1159.986989,-836.797648
716.351233,500,1103.792615,1127.879424,716.351233
198.070334,459,1130.847039,2167.184967,198.070334
-414.727177,204,1143.010008,1736.88813,-414.727177
-736.088732,83,1147.883034,1373.073141,-736.088732
1159.999772,43,1150.340429,-824.867399,1159.999772
-573.940751,175,1160.544364,609.777694,-573.940751
-667.645484,134,1168.456644,455.327867,-667.645484
-591.352207,151,1177.154878,645.557354,-591.352207
-597.753542,157,1185.740736,1610.862443,-597.753542
-216.86229,408,1208.273047,1116.894167,-216.86229
-181.560745,304,1225.136816,2365.814114,-181.560745
500.87063,500,1254.175303,431.411488,500.87063
-686.290485,108,1260.356293,389.672571,-686.290485
-912.30724,81,1264.923218,180.336635,-912.30724
1164.272367,45,1267.332826,-831.01907,1164.272367
611.473087,500,1295.483075,821.451248,611.473087
56.325431,288,1311.411497,1993.761338,56.325431
-781.706534,149,1319.960078,594.514631,-781.706534
837.071662,500,1348.373754,1213.420144,837.071662
-792.055497,66,1352.09595,1257.188021,-792.055497
427.765833,500,1380.41412,550.782841,427.765833
803.688456,500,1408.728609,385.608315,803.688456
1208.810467,57,1411.697977,-799.147885,1208.810467
721.97621,500,1439.284991,751.458301,721.97621
-668.370306,110,1445.339515,227.206345,-668.370306
1433.72472,154,1453.779533,-430.057839,1433.72472
-635.02257,182,1463.771128,507.412638,-635.02257
30.17968,500,1493.318854,458.614866,30.17968
324.392592,500,1523.240384,451.263883,324.392592
489.067683,500,1552.769899,780.902023,489.067683
108.687562,406,1576.214573,1364.975499,108.687562
-751.153697,160,1585.212908,524.566955,-751.153697
618.862273,500,1612.506819,369.883777,618.862273
453.255609,500,1640.15377,-37.557874,453.255609
-573.879248,140,1647.861138,505.137738,-573.879248
-523.169294,224,1660.0605,745.612055,-523.169294
-537.855394,250,1674.331496,654.617836,-537.855394
-596.149592,183,1684.586549,484.540816,-596.149592
195.861635,500,1713.909988,450.677039,195.861635
387.935542,346,1733.999371,2238.65453,387.935542
642.236304,500,1763.721544,826.795667,642.236304
859.195342,500,1793.63294,811.701651,859.195342
-619.840153,140,1801.883046,545.323033,-619.840153
-368.515049,259,1817.142868,1019.144219,-368.515049
792.171381,500,1844.64613,882.998949,792.171381
-787.945522,98,1850.097567,311.769405,-787.945522
1202.698428,53,1853.00864,-771.830877,1202.698428
215.583225,60,1856.128053,-795.08179,215.583225
-209.795266,337,1875.083368,1108.931646,-209.795266
-550.092761,150,1883.759304,540.751671,-550.092761
632.084739,500,1913.225046,863.716586,632.084739
-333.061172,227,1926.917587,988.126646,-333.061172
-738.998765,188,1938.421522,474.660663,-738.998765
-537.022697,245,1952.97471,719.486479,-537.022697
546.927681,500,1982.576552,497.174217,546.927681
827.984291,488,2010.414717,2773.251877,827.984291
-713.596248,157,2019.37359,597.224472,-713.596248
-742.193811,128,2026.395229,451.763187,-742.193811
