#{"t_start": 1608115272.820032, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
284.779897,500,28.592244,357.022797,284.779897
491.118395,500,54.964456,749.329847,491.118395
-581.920387,153,63.389572,534.166434,-581.920387
176.798652,368,82.654855,2734.820897,176.798652
-857.797698,40,84.667421,1145.550506,-857.797698
-808.490353,61,87.874259,1262.606589,-808.490353
-719.723149,145,95.354916,448.37395,-719.723149
273.82158,415,117.387592,2390.82483,273.82158
739.378855,500,145.53678,623.967001,739.378855
-840.680641,42,147.823467,1150.40724,-840.680641
-543.480271,114,153.975858,365.163706,-543.480271
-788.880957,104,159.77333,337.695177,-788.880957
-584.834531,182,170.246547,689.86675,-584.834531
263.416681,500,197.611949,446.895507,263.416681
-500.819559,264,212.224281,909.914068,-500.819559
236.107348,368,233.657737,1440.477819,236.107348
-250.770935,289,250.658057,841.937673,-250.770935
1005.945096,500,279.431894,650.723569,1005.945096
-684.567884,138,287.657692,597.71576,-684.567884
-394.436406,232,301.252726,822.874791,-394.436406
-783.769835,116,307.992607,443.628739,-783.769835
542.635657,500,337.240518,786.182229,542.635657
-826.384065,94,342.732665,239.505004,-826.384065
32.477504,427,368.397769,1268.358319,32.477504
-592.977348,220,381.569099,825.671892,-592.977348
-641.967828,225,394.500562,483.074439,-641.967828
-77.903012,453,421.972941,1271.539702,-77.903012
-225.902465,269,437.941919,2034.325494,-225.902465
371.775108,500,467.911318,806.571527,371.775108
-480.372708,127,475.206561,1541.365542,-480.372708
682.837645,500,501.588653,594.372112,682.837645
514.946188,500,528.223562,934.411648,514.946188
176.141527,410,552.4949,1397.944284,176.141527
3.80962,304,570.423285,2229.417103,3.80962
113.533096,370,592.041315,1571.749825,113.533096
-432.025329,232,605.748599,1068.230212,-432.025329
145.885648,500,634.207456,474.195623,145.885648
-518.261402,219,646.428572,934.331716,-518.261402
-580.803083,188,656.524551,513.494699,-580.803083
-667.023917,139,664.109088,414.869513,-667.023917
-810.384122,64,667.692615,1257.020977,-810.384122
-809.259835,73,671.606358,295.324871,-809.259835
1161.744228,42,673.883662,-843.022658,1161.744228
-393.972093,318,691.018199,913.421338,-393.972093
2.084482,500,719.347245,-46.722928,2.084482
-752.670195,105,725.214436,318.993548,-752.670195
364.812132,500,753.222895,1014.491879,364.812132
119.259816,362,774.179941,1529.29311,119.259816
-250.044411,237,787.741549,1000.282804,-250.044411
332.912976,500,817.044504,791.789543,332.912976
-233.915242,191,828.099011,649.000754,-233.915242
-106.748395,304,844.74048,2210.925538,-106.748395
-126.045007,360,864.79347,787.167827,-126.045007
530.024282,500,893.848001,56.92173,530.024282
732.89732,500,923.025905,989.411476,732.89732
555.010394,426,948.074497,1237.246053,555.010394
60.753668,290,964.602854,2077.728606,60.753668
-492.250694,204,976.968251,755.720039,-492.250694
-265.84793,347,997.239397,740.433894,-265.84793
581.16073,500,1026.724264,974.432992,581.16073
554.158588,500,1056.148766,710.907567,554.158588
-648.708604,235,1069.282882,642.628759,-648.708604
-711.951976,91,1074.150578,1396.038486,-711.951976
516.436074,500,1103.174425,1076.140663,516.436074
-673.050612,150,1112.05077,644.368486,-673.050612
-606.932698,127,1119.479094,543.388439,-606.932698
803.023912,500,1149.012861,760.21458,803.023912
-293.190741,189,1159.977338,706.655471,-293.190741
508.0397,500,1188.345127,945.83839,508.0397
