#{"t_start": 1608115272.455702, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-72.940032,500,28.935919,85.865219,-72.940032
671.774844,500,55.362832,1029.160788,671.774844
455.400995,500,81.95364,394.071035,455.400995
776.866648,500,107.775368,383.827154,776.866648
-613.770811,98,113.109141,1421.549248,-613.770811
-771.877342,138,120.656824,290.43961,-771.877342
433.003238,500,148.82697,942.45512,433.003238
232.787084,481,175.476189,1546.724746,232.787084
527.494572,500,203.137979,1175.129209,527.494572
1238.596527,70,207.023564,-730.508194,1238.596527
-880.594373,123,213.819416,240.288945,-880.594373
921.188085,500,243.103085,935.07388,921.188085
-579.624568,158,252.291579,599.717176,-579.624568
-182.159263,261,267.166332,2063.124555,-182.159263
-837.705557,111,273.696216,316.990042,-837.705557
503.721603,500,303.154082,941.347387,503.721603
810.911637,500,332.336125,1116.415323,810.911637
-669.520637,111,338.748841,427.533449,-669.520637
-788.473108,116,345.838836,411.797493,-788.473108
-456.575685,278,362.503818,717.861801,-456.575685
13.680675,347,383.1674,1289.957665,13.680675
338.812217,466,410.733731,2442.146247,338.812217
-300.305488,237,424.944962,860.388772,-300.305488
446.075347,470,452.952841,2803.573363,446.075347
1163.437301,43,455.401953,-808.282013,1163.437301
-564.235937,141,463.841352,1464.09702,-564.235937
150.982456,398,486.370562,1682.992181,150.982456
-619.463356,232,498.57574,1133.285926,-619.463356
-238.764895,192,508.660226,451.366149,-238.764895
435.846129,500,535.801134,918.671689,435.846129
-778.794298,64,539.41987,1252.801353,-778.794298
520.012805,500,569.257177,557.496801,520.012805
-881.843346,61,572.781451,177.736769,-881.843346
-443.320238,202,584.866985,678.645646,-443.320238
1236.612271,62,588.35139,-755.94518,1236.612271
344.201748,500,617.42323,952.126708,344.201748
274.717473,422,641.615736,2563.952495,274.717473
443.663279,403,663.186481,1365.453107,443.663279
628.283179,500,690.337359,491.389127,628.283179
-618.8481,148,698.593209,497.0069,-618.8481
1853.847322,459,724.54129,376.694257,1853.847322
-355.614482,258,739.145832,772.567413,-355.614482
-781.620898,96,744.585273,397.311371,-781.620898
-671.08985,107,750.344991,1449.291434,-671.08985
773.919606,500,779.178289,629.068113,773.919606
-670.389615,123,786.269928,487.568653,-670.389615
340.415033,500,815.473457,140.91701,340.415033
-671.192171,146,823.99605,583.849608,-671.192171
562.931456,500,851.610972,288.208526,562.931456
311.941781,500,880.333109,1211.206704,311.941781
-256.705183,284,896.655956,990.848665,-256.705183
