#{"t_start": 1608115271.4932125, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-652.362807,122,9.509886,1506.594218,-652.362807
-248.194303,247,23.037569,1817.333599,-248.194303
-395.022444,235,35.180691,734.174201,-395.022444
-616.949373,149,42.997137,412.712967,-616.949373
796.112626,500,69.705316,1135.636511,796.112626
8.789187,396,90.612403,1143.92751,8.789187
498.257413,500,116.784919,694.381436,498.257413
1210.930115,61,120.266552,-753.995699,1210.930115
567.359336,500,148.352869,442.703304,567.359336
1183.996415,66,151.877021,-747.819517,1183.996415
163.413599,358,172.123138,1195.879081,163.413599
946.645655,500,199.516051,642.956179,946.645655
428.724346,500,227.558096,823.192826,428.724346
252.075041,356,248.840087,2512.080677,252.075041
-860.32017,43,251.276279,1184.710641,-860.32017
-583.988918,145,259.265923,593.044806,-583.988918
-670.428309,157,268.533469,471.094028,-670.428309
247.480958,500,297.866532,580.748799,247.480958
-103.998987,401,321.347912,991.162604,-103.998987
-358.800027,280,337.661723,804.430552,-358.800027
935.671477,500,367.593664,855.513468,935.671477
-425.297095,211,380.131869,542.33584,-425.297095
-305.514773,240,394.116489,2098.899878,-305.514773
117.316667,299,412.20137,2149.308883,117.316667
147.311735,398,435.950128,1102.658026,147.311735
-832.865595,108,442.389619,274.778704,-832.865595
-686.399777,100,448.472588,1387.220735,-686.399777
133.082013,500,477.945863,560.953037,133.082013
778.921406,500,504.382448,54.433667,778.921406
-537.428615,221,515.968071,503.083341,-537.428615
986.165346,500,543.91551,624.00491,986.165346
-365.737834,256,559.204391,868.081626,-365.737834
-505.485355,152,568.199437,581.381758,-505.485355
-725.043024,138,576.258955,474.412236,-725.043024
-825.95128,46,578.863717,1192.766204,-825.95128
-3.788264,500,608.375211,427.798028,-3.788264
613.709814,500,636.817147,930.51877,613.709814
-741.995596,105,643.055505,404.415427,-741.995596
9.876268,286,658.290892,1949.370659,9.876268
796.31168,500,685.618057,922.775069,796.31168
224.338575,500,713.318792,1020.547648,224.338575
129.088611,500,741.567489,1231.534226,129.088611
-812.394129,66,745.267106,267.029589,-812.394129
-506.712063,151,753.629602,1590.001565,-506.712063
-815.814955,64,757.452261,1292.213044,-815.814955
-668.948409,123,764.445952,321.882638,-668.948409
-926.521051,54,767.55268,246.939083,-926.521051
-317.396142,294,784.448581,764.188437,-317.396142
945.137316,500,813.282806,970.231338,945.137316
-555.835512,134,821.439513,550.561868,-555.835512
-609.463112,150,830.040899,1536.948639,-609.463112
-358.976466,228,842.611427,980.79007,-358.976466
-625.399886,139,850.2146,382.458355,-625.399886
1269.487151,89,855.114975,-819.529914,1269.487151
-877.771455,89,860.072324,301.428752,-877.771455
-517.507464,191,870.839715,670.122141,-517.507464
1450.44859,107,877.279171,-616.76768,1450.44859
-858.109036,109,883.7396,266.612268,-858.109036
373.482802,500,912.724147,849.751162,373.482802
-841.157534,56,915.99651,1166.617382,-841.157534
-203.880376,408,940.227562,1322.111739,-203.880376
-428.160516,186,950.771705,567.623977,-428.160516
334.556649,472,978.41216,1133.286995,334.556649
178.972866,500,1007.697696,809.950331,178.972866
-524.386872,357,1028.770814,980.249793,-524.386872
228.646727,500,1058.139576,678.616541,228.646727
-828.437872,47,1060.786335,1219.680205,-828.437872
369.018803,467,1087.100595,2624.777589,369.018803
-365.459407,239,1100.954762,794.430258,-365.459407
207.129727,500,1130.284179,465.121936,207.129727
339.80618,456,1157.271635,1671.991826,339.80618
-586.016282,235,1171.326289,617.303513,-586.016282
-280.237757,219,1183.12584,1539.666498,-280.237757
470.394584,500,1210.825033,779.155997,470.394584
-800.77078,57,1213.923293,1209.909937,-800.77078
679.056355,500,1242.411024,663.1353,679.056355
-206.318142,269,1258.136292,1995.75766,-206.318142
-57.456365,406,1281.243435,1728.742679,-57.456365
-385.03822,189,1291.909313,1843.071127,-385.03822
267.311765,76,1295.876573,-724.045441,267.311765
387.253513,500,1323.731919,440.417458,387.253513
807.222242,500,1352.257563,1111.628254,807.222242
662.73914,500,1380.604959,1154.655415,662.73914
-487.167739,191,1391.449826,662.30709,-487.167739
383.120322,500,1419.243927,1090.134023,383.120322
1128.965523,39,1421.328363,-844.355637,1128.965523
-410.341774,349,1440.717796,1087.27904,-410.341774
-680.836265,238,1453.719505,689.836567,-680.836265
-667.543207,127,1460.778927,437.429946,-667.543207
372.769742,413,1484.820736,2749.191194,372.769742
982.392889,500,1514.305253,488.545653,982.392889
50.660448,357,1535.848548,1556.672194,50.660448
80.769447,322,1554.834902,1203.99473,80.769447
-752.140754,116,1561.532278,364.240938,-752.140754
-100.746834,289,1578.099461,1132.195516,-100.746834
366.429491,395,1599.816532,2386.88907,366.429491
-484.874069,213,1611.630773,729.095652,-484.874069
610.205178,500,1639.256212,745.305819,610.205178
-292.660403,285,1654.729027,922.252938,-292.660403
-494.432144,164,1663.823478,581.778613,-494.432144
-502.18124,341,1683.190392,755.237614,-502.18124
-577.128045,166,1692.84424,512.94129,-577.128045
713.526842,500,1721.883447,869.949892,713.526842
602.541008,500,1751.156786,986.490377,602.541008
-754.506791,107,1757.831634,400.068285,-754.506791
315.437606,500,1787.749512,569.212661,315.437606
-532.162034,163,1797.561879,607.60968,-532.162034
461.483545,500,1826.472592,688.927763,461.483545
-638.14431,156,1835.103448,381.81179,-638.14431
-400.137231,208,1846.355413,829.872119,-400.137231
523.66413,500,1874.083508,386.176911,523.66413
-612.049786,230,1887.390504,939.489643,-612.049786
-530.249429,198,1899.159979,768.065351,-530.249429
-19.989661,404,1923.26452,1492.414215,-19.989661
-12.974349,396,1947.070403,2719.378522,-12.974349
254.982064,497,1976.324967,1927.985755,254.982064
-167.500511,269,1992.414846,1071.373716,-167.500511
309.363108,500,2020.61133,729.462886,309.363108
921.626572,500,2048.385309,506.641343,921.626572
-522.173584,120,2055.332603,1430.821784,-522.173584
-568.734516,148,2063.871435,526.731488,-568.734516
-417.969823,165,2073.582489,1574.705833,-417.969823
468.606954,145,2082.261195,-509.210489,468.606954
249.692635,102,2088.501614,-738.482503,249.692635
-488.115045,173,2098.879662,697.139185,-488.115045
365.164409,118,2105.784257,-558.765808,365.164409
-810.820327,66,2109.730616,251.252755,-810.820327
-226.539141,363,2129.978972,1645.25458,-226.539141
-708.177075,126,2137.042046,375.390043,-708.177075
-606.118463,103,2143.102272,415.363942,-606.118463
-836.358556,47,2145.753818,1194.482743,-836.358556
25.952549,369,2167.513903,1542.715942,25.952549
-9.381757,445,2193.354667,1181.280568,-9.381757
441.654185,500,2223.615346,189.667627,441.654185
-836.209768,141,2232.032221,624.685664,-836.209768
680.635032,500,2259.570617,915.006579,680.635032
626.145493,500,2288.07233,1072.808577,626.145493
-544.047873,228,2301.365999,664.229249,-544.047873
670.365976,500,2331.635875,1088.005969,670.365976
647.064067,487,2360.076429,2885.663102,647.064067
-452.090232,189,2370.617021,1673.688183,-452.090232
488.550811,500,2398.915702,888.092035,488.550811
382.483618,500,2428.157955,457.233306,382.483618
276.172625,304,2445.875405,2072.797015,276.172625
538.891329,500,2474.943996,588.596751,538.891329
427.307076,500,2502.535067,584.421291,427.307076
581.647805,500,2530.609632,342.952101,581.647805
219.787513,500,2558.217228,602.520118,219.787513
-149.650017,408,2581.437922,1136.720499,-149.650017
729.51273,500,2611.784389,400.175285,729.51273
835.827775,500,2643.339754,919.529871,835.827775
600.19241,470,2670.823229,2767.984001,600.19241
593.528703,500,2700.285391,891.698051,593.528703
-891.093789,78,2704.99838,254.599594,-891.093789
-449.2199,176,2714.658476,779.659615,-449.2199
287.986022,168,2723.89353,-586.823459,287.986022
-296.977723,301,2740.992168,820.843368,-296.977723
351.877521,500,2769.120663,448.236816,351.877521
757.461617,500,2797.088817,474.978769,757.461617
-130.896437,306,2814.240742,1080.26656,-130.896437
532.322571,500,2842.335777,877.900636,532.322571
-91.143253,433,2867.652123,1458.224188,-91.143253
-654.328725,153,2876.466626,485.986992,-654.328725
1197.574859,47,2879.420039,-807.401409,1197.574859
-862.468608,116,2885.973094,362.990161,-862.468608
746.152032,500,2914.714501,1032.167424,746.152032
-99.405008,404,2937.774029,1250.134118,-99.405008
-765.315349,92,2943.279293,297.098922,-765.315349
1536.901797,132,2951.269629,-458.916531,1536.901797
-163.066624,377,2973.374149,847.923285,-163.066624
-722.670051,111,2980.069601,401.747343,-722.670051
198.721048,347,3000.537154,1020.964671,198.721048
915.597695,500,3028.272168,66.465645,915.597695
177.970366,44,3030.760062,-833.453851,177.970366
780.01758,500,3059.995671,603.753304,780.01758
731.440086,461,3085.414328,2846.566768,731.440086
-632.694328,203,3097.158103,574.323899,-632.694328
513.360148,470,3124.67952,2760.352468,513.360148
-538.075935,238,3138.045541,684.858967,-538.075935
809.313144,500,3166.271513,1019.873181,809.313144
-480.774963,166,3175.591922,738.597151,-480.774963
336.835351,500,3203.490285,392.976618,336.835351
1822.808455,318,3221.079249,-222.430978,1822.808455
783.455939,500,3249.645598,249.190478,783.455939
1224.25421,64,3253.158818,-739.55621,1224.25421
-633.434588,192,3263.735501,629.779633,-633.434588
321.656635,500,3292.235055,1026.251216,321.656635
896.740673,500,3322.336052,789.349109,896.740673
88.187185,500,3352.007573,6.700336,88.187185
825.420014,500,3380.59409,792.558545,825.420014
-283.728402,382,3402.712874,849.457841,-283.728402
-68.481814,500,3431.881241,259.276702,-68.481814
847.317094,500,3459.962212,851.04104,847.317094
336.604086,443,3486.729036,2558.226473,336.604086
326.964363,500,3516.592456,756.629737,326.964363
783.726459,500,3546.461561,990.681702,783.726459
-127.562317,293,3564.505202,1242.898154,-127.562317
249.695013,70,3568.553868,-757.41136,249.695013
-878.526858,85,3573.417015,306.107382,-878.526858
-219.381357,350,3705.787448,1376.775584,-219.381357
-840.537824,116,3712.348052,396.584399,-840.537824
638.562886,500,3740.768217,630.409456,638.562886
-831.591822,41,3743.220887,1183.925685,-831.591822
735.623272,500,3771.288405,740.219149,735.623272
912.231229,500,3798.849406,787.381451,912.231229
-159.046697,265,3813.335529,2135.892853,-159.046697
-599.445784,140,3821.263441,473.754565,-599.445784
1174.923844,47,3823.972587,-809.026839,1174.923844
896.615387,500,3853.607222,782.959567,896.615387
850.255605,500,3882.70136,1109.361402,850.255605
-24.737632,369,3903.338424,1278.833139,-24.737632
941.829742,500,3930.967212,941.545789,941.829742
826.419916,500,3960.408938,809.37663,826.419916
-787.884631,119,3967.017074,386.006559,-787.884631
310.985343,500,3995.092678,1107.489144,310.985343
161.208079,500,4023.293822,320.208491,161.208079
326.73818,500,4051.703084,375.094544,326.73818
2279.970564,341,4070.916049,221.473752,2279.970564
365.634315,91,4075.950376,-763.523235,365.634315
-429.042992,170,4084.983312,1668.163683,-429.042992
1190.494126,47,4087.522444,-787.767037,1190.494126
-864.753082,41,4089.793406,1158.346725,-864.753082
-892.704989,44,4092.26708,1127.59159,-892.704989
240.893494,90,4097.317863,-712.950858,240.893494
354.103906,99,4102.811849,-606.730557,354.103906
335.000222,115,4109.129594,-671.522989,335.000222
-603.067519,241,4122.924435,1142.321649,-603.067519
543.295378,500,4158.010385,478.588884,543.295378
2070.694097,317,4176.795433,-133.188282,2070.694097
1261.129139,75,4180.971732,-678.977026,1261.129139
1001.484748,500,4209.142574,595.348278,1001.484748
845.824333,500,4238.210976,822.857226,845.824333
45.332115,500,4268.571381,468.755077,45.332115
824.278661,500,4298.615379,874.763533,824.278661
-841.115616,39,4301.033152,1160.788183,-841.115616
604.848608,443,4331.262627,2344.278616,604.848608
-263.571565,320,4350.370805,1159.733669,-263.571565
799.523225,500,4380.66024,490.621026,799.523225
874.029192,500,4411.496886,609.596508,874.029192
250.980082,500,4440.349773,1207.146351,250.980082
1366.601712,116,4446.995209,-538.535592,1366.601712
676.436808,426,4470.672744,2575.565684,676.436808
478.190588,472,4497.558946,1701.726049,478.190588
588.341879,500,4525.783402,238.722424,588.341879
692.190496,500,4555.952391,363.805775,692.190496
-639.710286,148,4564.78242,596.247193,-639.710286
72.067738,500,4595.947366,597.711952,72.067738
949.565385,500,4625.10757,1189.239528,949.565385
484.094695,500,4653.679972,490.142492,484.094695
-747.424374,97,4659.262419,347.706789,-747.424374
-558.799553,138,4666.92176,507.260514,-558.799553
75.069207,500,4695.476595,233.441139,75.069207
305.911486,500,4724.170285,337.548484,305.911486
-260.197082,224,4736.717063,601.130063,-260.197082
377.325358,481,4765.023048,2530.446357,377.325358
523.723614,500,4794.363861,384.906081,523.723614
-109.186188,500,4824.906821,344.786585,-109.186188
947.26225,500,4854.544172,1012.190353,947.26225
372.471993,500,4883.240562,568.959026,372.471993
505.797789,500,4913.090428,1177.78101,505.797789
216.865118,500,4943.073379,377.994629,216.865118
853.569199,500,4972.113275,961.566963,853.569199
543.03667,500,5000.734702,374.852287,543.03667
474.399217,500,5029.137181,501.809259,474.399217
2733.750151,434,5053.892575,560.983185,2733.750151
1058.717003,500,5082.418555,880.186886,1058.717003
502.972879,500,5110.992987,297.151376,502.972879
140.244393,368,5132.287772,1487.710153,140.244393
126.670953,360,5154.666312,2265.382722,126.670953
-353.273515,175,5165.020091,1697.661541,-353.273515
1213.243261,62,5168.701146,-746.277702,1213.243261
693.74425,500,5199.660626,1285.818241,693.74425
713.600399,500,5228.600703,981.031004,713.600399
784.455695,500,5257.612121,544.11957,784.455695
245.305481,500,5285.912358,151.917395,245.305481
36.676809,500,5315.075307,230.43087,36.676809
736.232289,500,5343.492621,552.88556,736.232289
-327.469752,169,5353.03088,1688.314677,-327.469752
509.948791,500,5383.204156,596.123499,509.948791
-96.520593,500,5411.005323,228.033776,-96.520593
656.807727,500,5439.51374,1003.515406,656.807727
951.00691,500,5470.964721,797.986233,951.00691
-664.284068,96,5477.029724,1383.357408,-664.284068
863.178075,500,5509.042218,930.484468,863.178075
927.281866,500,5540.181251,904.381845,927.281866
2265.826167,325,5559.619906,132.42446,2265.826167
505.46129,500,5588.02568,928.925096,505.46129
764.51212,500,5616.680627,1037.274076,764.51212
559.85788,500,5646.210634,755.691761,559.85788
-501.255332,147,5654.691738,558.111635,-501.255332
997.839347,500,5683.622095,841.780469,997.839347
238.538224,500,5712.191672,312.535398,238.538224
-779.921324,60,5715.786123,1278.340522,-779.921324
473.073714,500,5744.716134,751.376491,473.073714
98.757678,500,5774.87436,-194.298266,98.757678
964.520641,500,5804.794592,756.709476,964.520641
-861.668331,39,5807.063153,1152.468117,-861.668331
641.363728,500,5836.377567,221.243812,641.363728
-837.094201,81,5841.065553,247.040151,-837.094201
697.646136,500,5870.146147,1172.316235,697.646136
268.30461,500,5898.442828,949.761311,268.30461
113.179483,500,5927.380605,136.365109,113.179483
504.960863,500,5956.952627,524.59587,504.960863
-464.423892,159,5966.375535,584.242549,-464.423892
398.726725,500,5995.986278,911.95958,398.726725
231.2978,500,6024.49563,131.151268,231.2978
177.333549,500,6053.062471,363.913402,177.333549
482.138199,484,6080.828384,3004.88379,482.138199
659.63515,500,6109.38255,927.270054,659.63515
111.640249,500,6138.327973,-10.801309,111.640249
370.898541,495,6167.172253,1824.254255,370.898541
1053.798033,500,6195.878534,864.711451,1053.798033
313.814381,112,6202.259248,-638.00032,313.814381
1490.359177,125,6209.610385,-501.97118,1490.359177
265.823164,500,6239.05614,96.901101,265.823164
1256.424276,60,6242.472557,-769.408137,1256.424276
406.854682,500,6271.329406,431.338657,406.854682
1033.044201,500,6300.118597,144.210058,1033.044201
885.648545,500,6328.536438,372.228892,885.648545
186.224525,500,6359.672014,732.793568,186.224525
524.221017,500,6389.752146,946.762316,524.221017
171.919646,500,6421.001487,727.881023,171.919646
611.771419,500,6453.173372,934.231239,611.771419
754.773037,500,6482.737463,794.708585,754.773037
818.095002,500,6511.464244,1155.630752,818.095002
542.602582,500,6540.085285,984.435713,542.602582
-529.348069,194,6551.094737,677.603421,-529.348069
611.407012,500,6580.172534,582.856948,611.407012
213.424901,444,6607.306245,1473.443827,213.424901
605.960687,500,6635.75932,882.29981,605.960687
532.779547,500,6666.588272,641.526473,532.779547
296.053706,110,6673.280919,-755.213106,296.053706
1042.600995,500,6704.311365,489.991107,1042.600995
-714.294232,136,6711.625832,348.844123,-714.294232
885.186319,500,6740.030717,909.729925,885.186319
-919.179241,62,6743.502567,282.005479,-919.179241
198.817858,63,6746.945606,-823.120865,198.817858
-540.863591,172,6756.373494,1565.725344,-540.863591
-569.176868,171,6766.501493,612.483216,-569.176868
143.176588,500,6796.188983,470.382266,143.176588
683.573402,500,6826.150854,131.230946,683.573402
1024.100638,500,6857.179814,992.722532,1024.100638
339.262601,500,6887.775445,580.07018,339.262601
-842.302535,43,6890.278753,175.846599,-842.302535
1254.676329,83,6895.366469,-685.609073,1254.676329
375.979785,500,6926.677203,1155.958354,375.979785
961.72942,500,6956.895279,673.04269,961.72942
276.228467,500,6985.865735,382.201812,276.228467
783.580887,500,7014.75275,777.725691,783.580887
1269.368433,74,7019.341444,-708.597529,1269.368433
-731.414939,156,7028.53834,427.057534,-731.414939
-9.091304,500,7059.483466,897.735068,-9.091304
-523.070767,450,7085.248234,553.829138,-523.070767
785.660589,500,7113.443681,971.782848,785.660589
397.699455,500,7141.877079,998.777617,397.699455
398.554523,500,7171.190302,419.506707,398.554523
785.726189,500,7203.35999,891.588715,785.726189
2320.382663,350,7225.407836,98.129833,2320.382663
113.075764,500,7257.408888,503.842303,113.075764
227.909691,431,7281.753578,2682.770397,227.909691
473.735241,500,7310.662761,747.028093,473.735241
850.039192,500,7339.132236,706.092684,850.039192
573.976941,500,7367.884164,549.515526,573.976941
250.135251,474,7622.744876,3061.396069,250.135251
715.626926,432,7646.463834,2498.318707,715.626926
299.427391,500,7674.975441,310.414934,299.427391
-136.432795,315,7693.085262,1655.887893,-136.432795
497.66804,500,7722.623997,804.914662,497.66804
1369.270087,133,7730.796494,-575.772583,1369.270087
881.244543,500,7762.8544,940.798305,881.244543
2384.840206,400,7788.675291,520.569026,2384.840206
2297.920337,352,7818.400957,162.252404,2297.920337
294.306847,114,7825.753962,-526.219218,294.306847
2028.779494,348,7848.112486,49.194303,2028.779494
465.357214,414,7871.872139,1247.194511,465.357214
924.277296,500,7900.577528,743.854674,924.277296
39.185017,427,7924.887918,1392.530437,39.185017
-706.193654,102,7930.807712,1450.185673,-706.193654
451.223084,485,7958.426854,1569.535889,451.223084
-842.65577,47,7961.172321,1161.604803,-842.65577
398.542542,500,7993.010149,452.2293,398.542542
-293.831706,176,8004.51059,1690.726534,-293.831706
-863.546552,54,8007.990392,1176.69541,-863.546552
287.359038,97,8014.129902,-726.351696,287.359038
666.839705,500,8045.09008,651.375912,666.839705
1179.2045,44,8047.745173,-808.960365,1179.2045
616.445148,500,8076.567844,521.744316,616.445148
366.644611,500,8105.183543,944.891811,366.644611
548.81832,500,8133.160852,442.334353,548.81832
-187.750616,487,8160.542883,1159.57153,-187.750616
1157.589907,40,8162.788699,-829.489022,1157.589907
-306.021339,297,8180.229671,1365.155214,-306.021339
256.838688,105,8186.580091,-620.253334,256.838688
128.299882,500,8216.246457,154.74886,128.299882
468.496369,500,8247.996005,711.800443,468.496369
1288.452403,75,8252.61177,-703.91188,1288.452403
385.219967,117,8259.539753,-541.221977,385.219967
-806.999348,60,8263.056014,1246.824001,-806.999348
523.818044,500,8293.884337,839.827114,523.818044
-160.507652,230,8307.120613,841.802062,-160.507652
731.976374,500,8336.17879,607.567976,731.976374
869.797688,500,8364.712837,309.698039,869.797688
-68.317215,500,8392.980991,47.757777,-68.317215
429.542842,500,8426.18171,865.95476,429.542842
866.942039,500,8457.779052,529.619372,866.942039
772.950106,500,8489.432218,228.679532,772.950106
-817.010097,53,8492.852,1178.188458,-817.010097
1143.118383,44,8495.41257,-847.353577,1143.118383
702.736532,500,8527.038544,574.679886,702.736532
579.103847,500,8556.539767,452.38024,579.103847
461.422645,500,8585.692611,551.995944,461.422645
774.742437,500,8615.911736,244.839712,774.742437
-17.230032,500,8647.222401,882.943499,-17.230032
-777.657158,88,8652.14798,317.862927,-777.657158
949.140962,500,8680.75847,763.776174,949.140962
389.418137,500,8709.47018,315.011774,389.418137
1313.881847,82,8715.001278,-685.509631,1313.881847
-572.74336,116,8722.804513,1508.511632,-572.74336
778.630924,500,8755.191736,852.953574,778.630924
603.696096,500,8785.812481,441.171752,603.696096
549.866501,500,8814.305894,464.866829,549.866501
1226.315435,69,8818.278471,-735.555383,1226.315435
-552.164,119,8825.13729,1379.193068,-552.164
-558.048099,500,8854.445209,36.011901,-558.048099
-722.947856,82,8859.28442,1368.65644,-722.947856
-144.452478,290,8875.82805,1081.991942,-144.452478
76.885935,500,8905.122755,37.075693,76.885935
554.342819,500,8934.06102,558.665481,554.342819
-270.029729,500,8963.36021,787.019486,-270.029729
-799.549676,62,8966.952349,1257.317509,-799.549676
922.461273,500,8996.213182,1053.881976,922.461273
874.746679,500,9027.001798,651.097716,874.746679
659.77026,500,9061.58318,210.681151,659.77026
-33.758787,318,9082.458816,1290.99383,-33.758787
604.163573,489,9110.256494,1546.223225,604.163573
1007.13222,500,9139.200405,1060.554406,1007.13222
1123.359334,500,9167.580513,962.77228,1123.359334
-611.477279,166,9176.799394,643.398367,-611.477279
-6.203038,254,9191.416819,2008.845028,-6.203038
