#{"t_start": 1608115272.2201452, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-709.105474,118,8.571015,303.069265,-709.105474
-390.456431,278,23.637944,937.83995,-390.456431
-465.023681,184,33.24884,1652.574751,-465.023681
284.682968,346,51.602403,2433.851878,284.682968
337.446767,401,72.952456,1476.548907,337.446767
655.67072,500,99.055229,381.179652,655.67072
-377.631131,195,109.185288,867.287126,-377.631131
326.914136,365,129.284024,2477.267378,326.914136
-383.812423,291,145.926947,1763.872196,-383.812423
724.823695,500,173.618726,502.460786,724.823695
912.950626,500,201.226409,828.467695,912.950626
-696.569264,144,209.089947,542.003743,-696.569264
668.722314,500,238.091411,130.676075,668.722314
-381.938207,245,252.478026,992.959891,-381.938207
223.789567,486,280.430804,1842.085744,223.789567
588.745057,500,309.822829,1027.582005,588.745057
319.393738,357,330.879682,2481.92501,319.393738
786.274687,500,360.668658,623.098136,786.274687
-459.215486,163,370.291165,667.989952,-459.215486
-888.410602,60,373.729259,234.704697,-888.410602
-205.716822,417,398.205001,1016.811566,-205.716822
82.037407,397,422.348242,1529.889597,82.037407
-803.68195,119,429.366945,328.070941,-803.68195
730.369612,500,459.050077,1014.036359,730.369612
-541.659373,120,466.308794,439.515873,-541.659373
-52.736638,303,483.49686,1139.354582,-52.736638
-232.709692,267,497.597973,785.614547,-232.709692
448.552422,441,520.607176,1418.970347,448.552422
1189.967441,49,523.481074,-784.645143,1189.967441
344.463603,500,552.482025,160.822,344.463603
882.00835,500,582.118316,750.810072,882.00835
1120.485532,500,611.093359,977.235021,1120.485532
-109.619215,342,630.444857,1400.654418,-109.619215
-421.159075,180,641.046293,671.875973,-421.159075
-333.60708,288,656.433043,768.408739,-333.60708
-585.209001,118,662.81923,411.866117,-585.209001
-767.317118,84,667.526574,1262.63435,-767.317118
-200.021051,445,691.49803,1615.174283,-200.021051
-574.23388,125,698.555559,413.174721,-574.23388
-735.827939,168,707.961264,537.839326,-735.827939
-359.727764,275,723.636345,1024.048392,-359.727764
-442.342931,355,743.663488,387.802691,-442.342931
1143.738697,44,746.133317,-807.039939,1143.738697
429.758744,500,774.64996,87.392932,429.758744
320.077542,367,795.428893,2268.640446,320.077542
-778.184794,126,802.751508,497.900199,-778.184794
-715.601019,119,809.756092,374.496687,-715.601019
-245.307473,357,830.779925,2315.917364,-245.307473
-754.101342,185,841.061662,633.077706,-754.101342
-607.87428,166,850.087975,612.1954,-607.87428
-327.037588,218,862.293652,677.48291,-327.037588
-851.601582,94,867.471131,279.243536,-851.601582
-837.775706,141,875.908352,295.467296,-837.775706
-775.149327,97,881.616744,1358.596436,-775.149327
-768.715816,161,890.874171,654.215051,-768.715816
-768.460266,66,894.662671,1256.669622,-768.460266
393.281268,440,920.538303,2675.335643,393.281268
-588.597234,165,929.852593,619.168151,-588.597234
-385.971661,263,945.434075,844.115597,-385.971661
-815.496238,96,950.982929,345.63358,-815.496238
111.285756,59,954.249741,-881.06324,111.285756
67.957976,352,975.078918,1419.208175,67.957976
-812.310754,66,978.855558,1236.249116,-812.310754
-669.830227,142,986.921584,500.274457,-669.830227
-750.23337,84,992.053453,1321.158101,-750.23337
92.263462,500,1021.64303,432.60068,92.263462
1144.744632,43,1024.147949,-823.922672,1144.744632
-222.10726,250,1038.712068,1001.319797,-222.10726
-168.582486,291,1056.022832,1124.888848,-168.582486
-643.678648,248,1069.878526,828.611012,-643.678648
-557.148362,289,1086.262566,580.615818,-557.148362
493.636003,500,1115.435144,380.667997,493.636003
-624.258925,143,1123.825602,1585.822316,-624.258925
-110.728044,332,1143.472575,918.538005,-110.728044
-61.971373,418,1167.906441,1389.946543,-61.971373
-469.919435,198,1179.261579,659.633256,-469.919435
583.330016,500,1206.924546,919.465923,583.330016
514.500053,500,1235.250774,677.662586,514.500053
-418.077878,197,1246.09832,676.338218,-418.077878
521.179786,500,1274.967007,662.891549,521.179786
152.628724,314,1292.792591,2374.625764,152.628724
-714.745722,118,1298.90077,486.882597,-714.745722
-60.9574,410,1322.068999,1760.990181,-60.9574
-903.083975,64,1325.420828,185.703446,-903.083975
-721.183871,149,1333.917506,652.850497,-721.183871
659.548269,500,1362.569744,40.197726,659.548269
479.322246,500,1390.953647,614.873276,479.322246
-161.277406,321,1409.083374,1471.216971,-161.277406
578.095356,483,1435.456304,1851.181049,578.095356
922.108027,500,1462.975449,505.101811,922.108027
751.960433,500,1492.467085,898.243456,751.960433
-751.400112,76,1496.907406,1352.665867,-751.400112
-554.262003,218,1509.902576,704.327087,-554.262003
451.213681,500,1539.747506,349.203685,451.213681
-416.840842,238,1553.79444,817.070985,-416.840842
-739.298949,121,1560.811097,464.150906,-739.298949
-645.272665,162,1570.074856,491.633392,-645.272665
-389.073581,239,1583.871513,847.438371,-389.073581
1210.512187,55,1586.810284,-787.237576,1210.512187
-766.127069,115,1593.093253,288.472752,-766.127069
-729.396585,185,1603.211396,816.609533,-729.396585
201.738586,392,1624.509726,2387.698285,201.738586
-597.026987,195,1635.66096,677.979002,-597.026987
-537.384006,236,1648.498825,1023.371322,-537.384006
893.549687,500,1676.397246,741.130046,893.549687
964.910351,500,1705.179834,857.928845,964.910351
-667.770401,172,1715.417601,590.413832,-667.770401
567.772218,492,1744.095133,1134.142082,567.772218
-796.963014,133,1752.076884,349.468176,-796.963014
590.833767,500,1782.329247,377.253772,590.833767
478.312867,455,1809.147883,2882.66769,478.312867
-320.371399,216,1821.473137,968.701601,-320.371399
954.745137,500,1848.940987,837.842264,954.745137
619.377425,500,1876.715206,651.993766,619.377425
-96.558657,344,1897.09233,2024.382081,-96.558657
-689.549981,135,1904.87787,437.256431,-689.549981
714.9096,500,1935.162378,677.140544,714.9096
27.279399,500,1964.679173,1083.093475,27.279399
240.709304,395,1987.971452,2698.08218,240.709304
466.102101,500,2016.385242,-60.227441,466.102101
-248.305493,276,2031.799126,1022.908708,-248.305493
24.838862,378,2053.161622,773.044243,24.838862
-162.442547,241,2067.183811,822.647094,-162.442547
940.214368,500,2097.072433,176.563091,940.214368
716.182048,500,2125.543017,453.456084,716.182048
467.528692,500,2154.534897,1057.152188,467.528692
768.243425,500,2183.81648,1211.503607,768.243425
817.938292,500,2213.609425,672.094654,817.938292
-650.867937,170,2223.780254,563.834368,-650.867937
-786.219023,52,2226.762572,1240.858449,-786.219023
-398.007398,228,2239.69188,841.386457,-398.007398
659.570771,500,2267.543593,604.287347,659.570771
187.185956,500,2296.448533,215.536972,187.185956
1121.892506,33,2298.367993,-843.781462,1121.892506
