#{"t_start": 1608115272.848021, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-113.033089,273,16.407469,1916.764554,-113.033089
-158.01905,309,32.722011,1076.665427,-158.01905
-142.160534,237,45.209316,1882.901301,-142.160534
693.855894,500,71.903103,681.427404,693.855894
856.379392,500,98.025349,744.937442,856.379392
-403.982012,178,107.184923,1752.674784,-403.982012
-706.518169,90,112.203973,1361.712309,-706.518169
-574.627608,142,119.912259,575.747502,-574.627608
-604.013767,160,128.791574,476.760347,-604.013767
-228.235986,318,146.84087,1010.561789,-228.235986
-685.009322,104,152.430163,1441.549217,-685.009322
170.287681,434,176.590534,2571.872684,170.287681
379.547189,500,204.34624,190.947762,379.547189
68.713357,347,223.518994,1297.244429,68.713357
-13.479187,421,248.796973,1085.338225,-13.479187
-820.584484,49,251.561626,1220.630607,-820.584484
-775.00346,163,260.622378,684.154075,-775.00346
623.754379,500,290.086899,805.734165,623.754379
-172.589949,253,304.883012,2145.403937,-172.589949
-570.083522,155,313.881673,623.216262,-570.083522
-597.091083,144,322.451967,513.010091,-597.091083
-711.408883,103,328.464406,415.211537,-711.408883
1281.830203,69,332.486262,-722.704951,1281.830203
-755.577745,162,341.869037,423.754267,-755.577745
-183.780856,277,358.795208,1111.62268,-183.780856
1061.860559,500,388.322691,829.226189,1061.860559
-506.189634,204,400.018498,814.007086,-506.189634
782.002665,500,430.293656,663.075066,782.002665
-621.443633,128,437.970989,1544.070151,-621.443633
118.564221,470,465.922927,1239.266463,118.564221
457.172661,500,493.58489,785.336971,457.172661
-471.438601,290,508.724077,737.338844,-471.438601
695.073404,500,535.921777,940.500214,695.073404
577.087121,500,565.568548,571.48078,577.087121
-125.379845,343,585.899855,1404.075688,-125.379845
368.682272,500,614.919074,583.86977,368.682272
-794.24441,123,621.878099,282.774331,-794.24441
-468.947463,251,636.085862,936.960707,-468.947463
-570.827722,121,643.060438,1530.016955,-570.827722
-540.767043,155,651.465343,1717.024107,-540.767043
584.383987,496,678.423705,1952.412627,584.383987
-458.807266,246,691.478204,1107.286353,-458.807266
-280.833924,260,706.148471,663.184439,-280.833924
-576.659708,126,713.400221,470.255783,-576.659708
-481.295482,172,723.120047,680.984291,-481.295482
-331.766347,240,736.788597,902.566815,-331.766347
-575.350984,155,745.402803,1588.192069,-575.350984
-859.30816,87,750.136957,252.545173,-859.30816
1078.632731,500,778.9008,846.207737,1078.632731
-563.176319,184,789.390875,712.577263,-563.176319
-826.430963,89,794.286096,225.487191,-826.430963
-410.303173,276,810.428431,793.921289,-410.303173
-605.067455,198,822.476535,701.489588,-605.067455
-872.089637,91,827.702617,206.924304,-872.089637
742.849294,492,854.736071,1315.408008,742.849294
-681.954752,103,860.526352,320.819641,-681.954752
230.961135,460,887.234212,3144.306298,230.961135
-648.49652,95,892.551919,1370.028666,-648.49652
114.608042,415,917.032212,1461.073182,114.608042
-463.458856,246,931.49128,599.673635,-463.458856
-845.600944,129,939.204688,429.601232,-845.600944
382.560504,500,967.842602,813.381177,382.560504
-482.805356,199,979.583688,1753.282167,-482.805356
-788.734027,89,984.713035,291.710862,-788.734027
-486.793247,200,996.59006,746.531536,-486.793247
-542.590847,147,1005.250457,1578.349428,-542.590847
766.621765,500,1034.7059,569.658045,766.621765
-704.145023,210,1046.92277,447.695902,-704.145023
-378.626405,232,1060.53176,473.307969,-378.626405
-790.627543,93,1065.849236,348.085116,-790.627543
-627.038767,119,1072.234777,469.037839,-627.038767
8.695129,348,1092.274552,1538.435834,8.695129
-570.881195,256,1107.085981,734.962317,-570.881195
-789.887983,76,1111.714673,334.158284,-789.887983
-524.721287,183,1122.445595,596.553115,-524.721287
324.747844,500,1151.926239,1038.574342,324.747844
408.737701,500,1180.652579,349.313454,408.737701
-859.924157,108,1186.710422,256.286656,-859.924157
-721.548344,133,1194.22815,1446.735403,-721.548344
255.21383,429,1217.783181,1534.820658,255.21383
-268.44376,249,1232.188505,918.040245,-268.44376
94.931116,52,1235.187375,-910.346528,94.931116
-897.631528,76,1239.381191,171.486041,-897.631528
-442.60127,333,1258.600939,1327.928657,-442.60127
-212.58775,358,1279.001527,1991.329505,-212.58775
-475.913124,205,1290.632071,677.230746,-475.913124
-671.257883,108,1296.203696,1485.887652,-671.257883
-620.069492,177,1306.024944,795.126801,-620.069492
824.150263,497,1334.069711,3022.968582,824.150263
328.319691,500,1362.690213,776.309171,328.319691
-825.560991,112,1369.144133,313.655803,-825.560991
713.030765,500,1397.207427,1169.350928,713.030765
-103.511029,500,1424.942582,440.493399,-103.511029
682.695963,404,1447.22366,847.923385,682.695963
-486.930452,250,1461.002306,639.798429,-486.930452
844.69956,500,1490.3829,704.475005,844.69956
-31.95247,363,1511.837607,2293.635996,-31.95247
541.994893,500,1541.637438,774.907891,541.994893
-636.860659,173,1551.840104,587.37732,-636.860659
-679.015109,125,1559.211361,384.082761,-679.015109
-154.36224,268,1574.616405,1151.232564,-154.36224
1159.208556,43,1576.962091,-823.257703,1159.208556
-438.869803,284,1592.788006,701.77697,-438.869803
-62.506363,450,1617.452693,1476.877331,-62.506363
-410.420056,194,1627.951591,746.570095,-410.420056
243.325463,421,1651.255327,2836.007318,243.325463
462.409717,500,1679.246876,805.221409,462.409717
-115.877046,500,1708.410924,330.950437,-115.877046
-691.848386,107,1714.679003,322.274812,-691.848386
100.583925,459,1741.484074,1367.482086,100.583925
-660.497823,195,1752.767416,615.729786,-660.497823
694.708118,435,1779.45598,2766.693907,694.708118
-767.689457,63,1783.119152,1253.372989,-767.689457
-160.569857,455,1809.912656,1338.504468,-160.569857
504.969499,500,1837.92,956.563279,504.969499
-778.194128,95,1843.074132,407.138174,-778.194128
-702.513487,251,1856.755733,726.743323,-702.513487
-745.951099,134,1864.272729,282.557201,-745.951099
-260.742395,253,1878.518003,1902.904201,-260.742395
314.756675,383,1901.152205,1274.280117,314.756675
307.922606,77,1905.600194,-811.974173,307.922606
680.22232,500,1935.879763,1038.316583,680.22232
1045.693551,500,1965.476891,1000.53751,1045.693551
405.522406,500,1994.828075,501.142801,405.522406
-143.952545,258,2009.374419,920.261019,-143.952545
432.21335,500,2037.324417,830.32765,432.21335
763.891681,500,2066.003071,822.029948,763.891681
-547.505153,168,2075.76081,362.13065,-547.505153
396.03184,500,2105.701967,457.25806,396.03184
-208.655474,197,2116.702173,1695.870117,-208.655474
-609.213518,273,2132.208991,1013.180841,-609.213518
-221.502506,353,2152.931245,1990.415192,-221.502506
1165.837655,60,2156.350705,-878.843915,1165.837655
595.621952,500,2185.633251,1068.573679,595.621952
-857.489844,51,2188.545152,1197.524558,-857.489844
-734.23867,150,2197.260461,547.087597,-734.23867
830.598531,500,2227.657694,1097.839904,830.598531
1182.021205,48,2230.40186,-832.108919,1182.021205
406.474542,500,2257.952297,1210.306757,406.474542
236.99107,500,2286.475191,1145.465719,236.99107
-221.96089,369,2308.264046,1067.374934,-221.96089
2439.994535,366,2330.418759,204.934713,2439.994535
270.900054,98,2336.13579,-705.874733,270.900054
636.72303,500,2365.095105,562.092361,636.72303
