#{"t_start": 1608115272.8186483, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
211.565335,416,24.045535,2816.080557,211.565335
-393.027046,228,35.911286,676.874118,-393.027046
451.360462,500,62.879419,317.496198,451.360462
480.40356,500,89.03341,522.985934,480.40356
82.07247,399,109.679621,2114.595614,82.07247
929.394762,500,137.690441,638.454528,929.394762
-207.907991,301,154.292914,2080.313653,-207.907991
-400.030674,202,165.540481,840.068575,-400.030674
-736.477993,104,171.62936,403.435947,-736.477993
155.747998,403,193.494035,1337.091803,155.747998
347.728619,500,221.376785,285.39342,347.728619
435.693797,500,251.111311,479.249316,435.693797
1181.235709,54,254.020779,-917.523887,1181.235709
148.797607,391,276.669964,1379.622283,148.797607
-564.329663,183,287.567598,470.461604,-564.329663
-289.084539,272,303.509294,937.541454,-289.084539
-747.616139,190,314.603777,500.815213,-747.616139
-411.404401,183,325.301863,761.418506,-411.404401
816.938711,500,355.122133,961.167579,816.938711
-780.822302,110,361.616968,359.326695,-780.822302
394.213048,500,391.126955,397.285245,394.213048
590.957151,500,421.156394,413.904666,590.957151
-521.356606,181,431.768113,560.929492,-521.356606
554.129301,500,461.546678,939.099434,554.129301
497.521255,456,487.468179,2956.219369,497.521255
-563.884378,196,497.739638,605.658613,-563.884378
-322.192864,189,507.654625,1737.312248,-322.192864
99.368625,401,528.966101,2193.001468,99.368625
-420.815177,234,542.613824,942.412875,-420.815177
-462.97009,212,555.334312,645.76149,-462.97009
328.787937,400,578.700448,2604.763563,328.787937
-820.929046,94,584.555013,287.342297,-820.929046
1263.977432,71,588.58291,-709.833243,1263.977432
247.186779,405,612.158899,1463.212296,247.186779
231.301597,500,640.897563,169.768542,231.301597
-690.774163,110,646.658133,310.928992,-690.774163
1218.6127,59,649.864238,-796.617239,1218.6127
-724.977951,176,659.30203,376.012819,-724.977951
459.238309,500,686.674862,874.860621,459.238309
-702.434683,145,694.176957,423.038292,-702.434683
1190.544401,92,699.494148,-756.688246,1190.544401
-152.964483,300,716.675127,1295.938665,-152.964483
-68.9306,338,735.818573,2188.650283,-68.9306
-744.809611,155,744.470918,631.071677,-744.809611
655.533171,500,772.874033,511.135897,655.533171
-825.619262,51,775.783246,1171.415915,-825.619262
-160.698156,262,790.721255,1891.022173,-160.698156
-249.982988,255,805.270766,943.223269,-249.982988
-130.951111,256,820.801932,898.64832,-130.951111
-578.654446,266,835.817893,769.405032,-578.654446
314.119295,500,863.44499,534.539976,314.119295
250.674992,83,868.07044,-808.578843,250.674992
614.516887,500,897.240143,867.717088,614.516887
-132.901569,416,921.675717,1230.78436,-132.901569
-841.158987,79,926.227779,257.50419,-841.158987
-53.994336,374,948.19778,1178.691551,-53.994336
-857.400798,45,950.705872,150.233973,-857.400798
-901.205423,80,955.279759,193.234822,-901.205423
1319.032718,85,959.997876,-696.359484,1319.032718
756.594685,500,989.237713,324.846999,756.594685
650.990424,500,1019.249465,642.536753,650.990424
-902.308816,54,1022.365438,197.550208,-902.308816
-764.970395,119,1029.161733,489.832389,-764.970395
-593.561959,144,1037.708358,527.487646,-593.561959
-83.761251,286,1054.655583,899.550531,-83.761251
-4.884829,371,1075.278737,1268.138638,-4.884829
407.983678,389,1097.898288,1477.374112,407.983678
-774.939011,137,1105.711787,538.291195,-774.939011
1341.507946,89,1111.159418,-608.069901,1341.507946
110.871229,420,1135.981398,1316.112315,110.871229
-379.426377,258,1151.080737,850.786885,-379.426377
-880.96738,55,1154.245089,159.758595,-880.96738
150.960704,56,1157.510717,-879.215034,150.960704
727.998175,500,1185.997274,855.114593,727.998175
-663.292747,119,1192.747951,1462.446576,-663.292747
209.491625,438,1216.863104,1729.413749,209.491625
71.613186,311,1234.788035,1088.498397,71.613186
802.403263,500,1263.269571,791.480148,802.403263
