#{"t_start": 1608115272.8119974, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
175.06152,500,28.606028,410.99247,175.06152
291.78825,500,54.993126,829.799273,291.78825
946.538721,500,81.598005,824.006336,946.538721
111.238215,303,97.255147,2231.536439,111.238215
-68.897534,417,119.498361,1262.246127,-68.897534
-809.197293,77,123.607945,264.750467,-809.197293
-462.105797,164,132.969461,1632.803999,-462.105797
618.665449,500,160.902162,933.630305,618.665449
750.705614,500,188.340106,441.1268,750.705614
-895.396234,52,191.256659,141.87708,-895.396234
-596.565727,260,205.948789,635.670875,-596.565727
1157.040791,43,208.160062,-842.195667,1157.040791
-98.105356,500,237.101221,203.823323,-98.105356
-53.073129,342,256.861835,2504.504484,-53.073129
316.394935,500,286.176329,781.150923,316.394935
-63.537516,300,303.808668,1151.735558,-63.537516
-218.550027,321,322.664667,1051.133436,-218.550027
7.443757,368,344.38011,1181.395912,7.443757
642.957832,447,370.917897,1314.025082,642.957832
700.492305,500,400.179893,1022.270395,700.492305
673.839006,500,430.49169,655.433448,673.839006
-350.830363,281,447.327368,712.682592,-350.830363
257.573276,318,466.521973,999.252156,257.573276
946.775343,500,493.75438,897.90699,946.775343
-263.518827,261,507.433029,879.033023,-263.518827
-194.81297,291,522.819517,759.804842,-194.81297
-640.785827,137,530.307311,554.636449,-640.785827
-689.801858,97,535.87911,1365.681438,-689.801858
-473.649092,231,549.645201,1860.696887,-473.649092
-789.439661,104,555.873138,357.847087,-789.439661
1177.173152,51,558.789191,-821.01283,1177.173152
-787.67699,169,568.859841,422.342017,-787.67699
-735.549609,80,573.500764,330.612069,-735.549609
-250.676752,302,591.210066,1033.545537,-250.676752
-573.105368,162,600.770901,710.138113,-573.105368
517.359174,500,629.275333,1092.37661,517.359174
66.728295,500,657.06801,304.240898,66.728295
242.284139,500,684.417797,156.031514,242.284139
-295.523158,281,699.641777,888.659593,-295.523158
-578.950468,154,708.348529,545.087555,-578.950468
876.16644,500,736.830176,599.177082,876.16644
193.43329,370,757.609162,2678.103831,193.43329
452.292616,500,786.299665,298.855119,452.292616
-44.439464,268,801.468828,1987.348896,-44.439464
276.375791,500,830.839439,807.844635,276.375791
-608.973749,128,838.094257,386.774363,-608.973749
-702.4968,119,844.366914,386.303086,-702.4968
-713.342558,74,848.498775,1318.378416,-713.342558
366.946285,500,876.969383,449.193951,366.946285
-736.976751,230,890.334629,604.495949,-736.976751
703.534377,500,919.653477,1254.69788,703.534377
-219.297596,256,934.812512,1003.090899,-219.297596
287.021957,334,953.806834,2296.358401,287.021957
178.025366,500,983.131808,353.947977,178.025366
-709.716768,83,987.771325,1342.423563,-709.716768
364.973083,438,1013.75819,2393.42387,364.973083
-603.412617,136,1021.9255,497.706833,-603.412617
584.54073,500,1051.315495,825.780509,584.54073
79.184581,385,1072.917908,950.248774,79.184581
-741.995752,134,1080.450592,494.801795,-741.995752
852.731483,500,1109.8712,773.610937,852.731483
-576.14702,282,1126.28745,895.730648,-576.14702
-771.046855,159,1135.855095,660.752518,-771.046855
309.999079,500,1165.045368,952.721531,309.999079
-766.834732,111,1171.770128,447.909192,-766.834732
119.726292,395,1193.692782,2309.527174,119.726292
187.66604,500,1220.985423,780.321393,187.66604
-863.140209,80,1225.619119,229.746819,-863.140209
-105.345614,273,1241.34635,2015.47905,-105.345614
-414.85203,176,1251.666744,1625.253801,-414.85203
-297.993585,247,1265.782364,1035.546834,-297.993585
-299.752578,294,1282.511661,1008.916989,-299.752578
691.117383,500,1310.038832,653.542285,691.117383
46.381542,500,1338.379011,346.070586,46.381542
81.510786,301,1355.691622,2199.767939,81.510786
-0.226162,348,1375.408032,1393.188559,-0.226162
-131.685056,250,1389.603211,1880.696811,-131.685056
413.317241,361,1409.922414,2147.646322,413.317241
-230.119031,268,1424.461979,778.504161,-230.119031
-143.629593,269,1439.385204,949.106034,-143.629593
906.776483,500,1467.049442,966.258353,906.776483
-77.967547,393,1490.349101,1156.778728,-77.967547
-671.444062,202,1502.176164,403.086991,-671.444062
-260.424327,272,1518.528737,2241.032063,-260.424327
-595.330601,127,1526.250957,471.119618,-595.330601
-340.995956,171,1536.298009,544.206033,-340.995956
119.637294,353,1557.045759,2414.417874,119.637294
276.93036,329,1576.00441,2122.212499,276.93036
-716.108978,130,1583.449043,391.088926,-716.108978
-499.917513,133,1590.718456,511.076332,-499.917513
-328.686975,286,1606.228461,878.66998,-328.686975
-380.426079,240,1619.419007,868.753264,-380.426079
595.291703,500,1647.097686,466.195221,595.291703
-772.89154,148,1655.064382,405.225504,-772.89154
-812.551027,49,1657.810276,1201.22731,-812.551027
515.645288,500,1685.941692,831.343427,515.645288
-829.293337,51,1688.80109,1216.707431,-829.293337
711.806208,500,1718.075768,752.924348,711.806208
-146.742152,399,1741.628382,1100.716607,-146.742152
1155.645442,40,1743.905134,-841.786514,1155.645442
185.260877,500,1774.031403,-84.131841,185.260877
-407.510598,243,1788.268528,777.407072,-407.510598
-390.039381,185,1799.34872,629.116059,-390.039381
-797.35566,145,1808.062719,351.270861,-797.35566
-471.216062,322,1826.333259,711.455571,-471.216062
-342.400567,213,1838.046301,1832.57234,-342.400567
-348.569968,244,1851.420334,484.33837,-348.569968
639.598511,500,1879.329757,1235.760328,639.598511
503.339557,500,1908.778178,434.300516,503.339557
556.651417,500,1938.981359,278.215991,556.651417
741.471979,500,1968.61452,1157.580426,741.471979
534.790856,476,1996.439538,1577.285935,534.790856
-680.533052,101,2002.034264,416.55771,-680.533052
-50.681802,405,2025.009198,1076.486576,-50.681802
1144.851388,43,2027.251626,-844.041783,1144.851388
766.243689,500,2055.418049,641.128446,766.243689
-740.362603,104,2061.511918,352.58109,-740.362603
395.865531,121,2068.663654,-621.913835,395.865531
252.542915,500,2098.603035,224.383992,252.542915
-727.792053,98,2104.344159,1341.703914,-727.792053
4.276159,407,2127.366576,1652.086626,4.276159
371.587507,500,2156.329269,669.231663,371.587507
-646.183998,162,2165.757705,548.289418,-646.183998
-431.369081,264,2181.291316,710.02368,-431.369081
-755.607485,79,2185.863726,1330.186995,-755.607485
-360.889871,229,2199.153382,836.691903,-360.889871
-609.83414,191,2211.021243,597.115705,-609.83414
470.129476,500,2240.078951,651.675539,470.129476
505.658708,500,2267.850106,639.987171,505.658708
641.380154,500,2296.838534,745.491787,641.380154
-651.991816,135,2304.825265,349.178252,-651.991816
-437.258794,166,2314.890948,1627.141283,-437.258794
-118.161137,301,2333.01228,2218.849089,-118.161137
-582.043902,186,2344.241227,827.955591,-582.043902
176.711653,295,2361.023401,2225.321802,176.711653
-868.629936,40,2363.195719,1181.783137,-868.629936
373.553334,500,2391.517529,576.005703,373.553334
-587.745652,154,2400.057727,526.089259,-587.745652
-756.760296,69,2403.826807,1242.437846,-756.760296
87.589498,500,2433.245575,120.380065,87.589498
-866.868473,116,2440.129117,346.024323,-866.868473
678.252834,500,2469.434324,833.114306,678.252834
-677.752935,184,2479.48421,770.209981,-677.752935
438.160422,458,2504.760875,2081.561016,438.160422
712.316912,500,2532.91314,197.759506,712.316912
431.668137,500,2560.67713,492.833525,431.668137
-305.637848,358,2580.915658,1220.269962,-305.637848
310.893155,500,2611.505105,491.485217,310.893155
1191.487554,50,2614.453108,-790.533229,1191.487554
668.928156,500,2645.510721,748.496277,668.928156
-488.017901,235,2659.161242,690.101663,-488.017901
-110.948616,334,2679.308434,1072.695221,-110.948616
657.029239,500,2708.261244,1208.387325,657.029239
-242.821743,272,2723.408652,1047.199122,-242.821743
212.551534,331,2742.239293,2432.550009,212.551534
78.951888,331,2760.963944,2339.163838,78.951888
-477.018041,189,2771.403754,821.574508,-477.018041
644.293814,500,2799.463979,376.97868,644.293814
319.208394,498,2827.39727,2336.483184,319.208394
472.008819,500,2855.964819,1051.163298,472.008819
-283.061349,277,2872.105938,936.914181,-283.061349
276.791747,319,2890.776251,2049.78286,276.791747
-803.431023,126,2897.849372,235.930552,-803.431023
824.655556,500,2926.417961,780.80644,824.655556
555.567413,500,2955.880714,669.777968,555.567413
1357.52963,98,2961.469216,-583.521696,1357.52963
-334.229277,320,2980.566205,1029.263786,-334.229277
-522.182401,156,2989.555964,1641.025596,-522.182401
-604.298513,200,3001.450005,742.118706,-604.298513
177.693883,419,3024.649138,1101.047395,177.693883
410.325734,442,3050.378054,2679.203342,410.325734
15.523434,455,3075.977072,3055.904547,15.523434
-250.997182,500,3104.738064,476.846712,-250.997182
385.951743,500,3133.569921,628.470446,385.951743
-716.408678,121,3140.181453,505.870029,-716.408678
622.022035,500,3168.444787,593.358418,622.022035
-362.118665,201,3179.762403,1702.454595,-362.118665
-718.115487,132,3187.089617,396.78403,-718.115487
2505.558535,399,3209.195745,623.122701,2505.558535
1233.824809,58,3212.408335,-743.638948,1233.824809
335.955035,111,3218.657333,-687.904356,335.955035
-799.197398,155,3227.636991,493.573305,-799.197398
866.996529,500,3255.666961,895.906251,866.996529
505.046131,500,3283.568258,521.771927,505.046131
181.834898,500,3313.746674,918.817157,181.834898
-219.722849,387,3336.693749,2155.372114,-219.722849
363.821683,107,3342.896344,-640.150856,363.821683
777.314367,500,3371.874605,1412.57088,777.314367
701.339397,500,3400.825972,607.926764,701.339397
-572.457594,200,3412.667896,616.529564,-572.457594
-289.186057,193,3423.789656,1845.728954,-289.186057
-891.679787,72,3428.087304,264.782777,-891.679787
-93.876949,317,3445.619262,1101.382577,-93.876949
370.179967,490,3474.190816,1485.763358,370.179967
794.880612,500,3504.436767,497.760821,794.880612
723.047598,500,3534.101648,745.930121,723.047598
902.784058,500,3564.670502,52.275637,902.784058
1136.669888,35,3566.700596,-853.12637,1136.669888
-634.377852,124,3573.833025,341.494581,-634.377852
126.301023,399,3708.892064,1435.557021,126.301023
147.092425,433,3733.850308,1273.429517,147.092425
729.707552,500,3761.921106,1207.684466,729.707552
-514.852451,229,3774.64261,614.501218,-514.852451
