#{"t_start": 1608115272.5333364, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
131.647044,364,21.726463,2539.519902,131.647044
-136.70668,250,34.637258,550.631633,-136.70668
-702.337389,99,39.735958,372.445217,-702.337389
-289.008089,259,53.819943,538.342591,-289.008089
521.51767,500,80.35716,875.774157,521.51767
-175.435456,303,96.018816,991.111341,-175.435456
-282.292763,308,112.283258,1221.679212,-282.292763
2.598325,459,137.915489,945.425558,2.598325
-765.09782,142,145.941972,408.507428,-765.09782
-19.717479,354,165.408218,1219.104351,-19.717479
767.850944,500,192.954169,1004.760435,767.850944
481.171093,500,220.730912,624.320004,481.171093
703.84405,500,250.521288,784.593893,703.84405
-682.944306,115,256.848465,389.981809,-682.944306
-431.203593,228,270.186082,1740.829429,-431.203593
-599.241559,150,278.952205,533.958892,-599.241559
287.090433,500,308.286538,733.030104,287.090433
166.521079,420,332.926455,2606.60571,166.521079
300.654229,394,356.573667,918.077479,300.654229
1006.159525,500,386.090314,443.02212,1006.159525
32.613309,500,415.783465,489.807354,32.613309
-102.596741,317,434.801852,1149.442849,-102.596741
-706.318182,98,440.628242,408.196177,-706.318182
1288.079388,82,445.581012,-644.535866,1288.079388
-14.2733,386,468.676476,1349.32077,-14.2733
-18.29197,500,495.883266,405.298842,-18.29197
718.277957,500,522.245349,809.74225,718.277957
-707.75287,95,527.226601,349.0893,-707.75287
-545.891357,149,535.792787,591.691647,-545.891357
640.214313,500,565.39388,887.55103,640.214313
507.952046,500,594.813937,607.691204,507.952046
807.708314,500,623.626345,762.401967,807.708314
-146.974603,284,639.711374,1085.255212,-146.974603
-38.283588,399,661.425143,1699.774458,-38.283588
363.148509,500,688.70637,674.692985,363.148509
-658.718745,259,702.984191,588.13945,-658.718745
790.124061,500,731.35616,329.0146,790.124061
537.864313,500,759.591622,432.141223,537.864313
72.147695,345,779.446925,1137.739537,72.147695
-454.372662,166,788.93641,1661.78985,-454.372662
-590.462645,143,796.865174,577.099983,-590.462645
-883.997013,71,800.952118,281.023934,-883.997013
2.76363,318,820.100499,1233.819325,2.76363
170.574721,365,840.653108,1238.158415,170.574721
33.70758,500,868.310561,687.912772,33.70758
-690.43921,216,881.182384,789.080719,-690.43921
379.138117,500,910.229901,804.536683,379.138117
-629.917476,121,917.409874,1509.470186,-629.917476
-312.767703,225,930.228362,974.261802,-312.767703
-406.493671,181,941.313137,1837.115462,-406.493671
-571.180297,151,949.849616,607.846141,-571.180297
52.820398,414,974.03968,1484.806402,52.820398
-739.196741,140,982.078114,510.869241,-739.196741
-308.016864,208,994.345494,1809.232553,-308.016864
-698.234568,114,1000.89938,442.367328,-698.234568
-542.452794,225,1014.271446,601.172446,-542.452794
-298.55645,201,1026.220966,1635.878886,-298.55645
618.880006,500,1055.701352,1079.187477,618.880006
-246.038917,245,1069.402892,1854.453086,-246.038917
64.207281,456,1095.513921,1288.716521,64.207281
-818.36207,109,1101.738612,368.325881,-818.36207
546.993139,472,1129.476647,1565.717641,546.993139
-770.779722,125,1137.055326,493.890759,-770.779722
-49.951592,477,1164.891964,1820.405772,-49.951592
1196.444129,54,1168.086468,-799.093189,1196.444129
-706.480494,105,1174.244022,377.534829,-706.480494
108.395283,53,1177.16704,-894.749692,108.395283
1233.942327,71,1180.972394,-739.489658,1233.942327
823.985875,500,1208.669481,21.318947,823.985875
672.363137,500,1237.050342,583.542286,672.363137
-816.241473,78,1241.353107,265.697902,-816.241473
154.741567,381,1263.330365,2406.615751,154.741567
-680.409833,213,1275.53806,711.306035,-680.409833
258.887589,355,1295.314139,2313.960354,258.887589
751.09286,500,1323.13231,618.742106,751.09286
190.759676,359,1343.675241,1423.688591,190.759676
450.164877,500,1372.118157,1101.230556,450.164877
148.159859,500,1400.381592,506.560474,148.159859
-686.446961,110,1406.681854,399.414677,-686.446961
-232.114038,333,1424.814594,1224.501175,-232.114038
144.261732,500,1452.367261,466.880897,144.261732
-890.779263,107,1458.507172,265.012365,-890.779263
-690.743154,165,1467.556146,404.431859,-690.743154
872.774066,500,1497.206937,476.746481,872.774066
-226.273826,397,1520.851497,1237.133746,-226.273826
480.633934,500,1550.422119,492.566796,480.633934
-402.741809,282,1566.730444,826.713125,-402.741809
-817.3918,113,1573.387833,391.866546,-817.3918
-773.194847,68,1577.189919,1263.876737,-773.194847
490.038163,500,1604.796951,258.499152,490.038163
631.404165,500,1632.055712,241.877232,631.404165
-623.759595,161,1641.312715,724.021234,-623.759595
-835.714787,102,1646.914094,243.733727,-835.714787
351.989209,500,1674.73264,444.268855,351.989209
185.722388,340,1694.105242,2206.176614,185.722388
-859.087327,44,1696.511444,1194.94912,-859.087327
601.729643,500,1725.812193,311.923857,601.729643
-203.049595,257,1741.022437,1067.379949,-203.049595
-226.073104,269,1757.033984,1092.372663,-226.073104
-332.316872,216,1769.951658,713.223033,-332.316872
503.324872,477,1798.400559,2778.523502,503.324872
-194.339421,287,1815.343857,2310.61727,-194.339421
291.963353,161,1824.476038,-407.653355,291.963353
564.165749,500,1851.846305,411.663144,564.165749
-209.748754,333,1870.472999,1021.603566,-209.748754
438.904218,500,1899.422709,1091.186993,438.904218
1199.023057,50,1902.337907,-809.257793,1199.023057
111.034957,500,1932.590626,1250.986111,111.034957
-813.775479,74,1936.927127,1257.680721,-813.775479
915.924938,500,1966.563598,1003.966032,915.924938
693.623888,500,1995.858446,510.952291,693.623888
