#{"t_start": 1608115272.729974, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-809.663421,89,6.463301,237.629029,-809.663421
651.202188,500,33.164586,393.444196,651.202188
246.747224,500,60.131765,254.735055,246.747224
-599.912791,125,66.484645,1551.313685,-599.912791
412.144647,500,92.75175,650.847905,412.144647
-713.841318,109,98.315513,379.032547,-713.841318
-234.007282,217,109.608108,1787.660727,-234.007282
-562.132167,146,117.692821,1548.63639,-562.132167
-781.31295,96,122.837394,416.99957,-781.31295
-728.599027,151,131.386559,544.863322,-728.599027
76.013505,314,149.167726,2348.735775,76.013505
-651.065752,189,159.564951,430.823465,-651.065752
-505.758189,157,168.537034,1669.510126,-505.758189
-531.56968,186,178.463275,709.716817,-531.56968
712.677386,500,206.351751,725.410038,712.677386
196.939384,56,209.214821,-842.133758,196.939384
-666.892355,150,217.583233,533.33346,-666.892355
172.144002,332,237.254105,2139.517321,172.144002
-368.678303,313,255.416653,1231.883304,-368.678303
-718.524811,95,260.706958,390.29616,-718.524811
-731.310432,148,269.522976,625.473175,-731.310432
-738.278707,107,275.665026,406.514389,-738.278707
-760.354257,109,281.947613,331.146272,-760.354257
196.60665,500,311.389435,781.264306,196.60665
600.722861,444,337.44047,1390.269309,600.722861
-821.951009,109,343.771241,293.440303,-821.951009
32.474351,282,361.024737,1171.591063,32.474351
-213.819471,408,385.16871,1067.576763,-213.819471
-772.166452,54,388.238105,1221.049223,-772.166452
-434.419483,358,409.601824,1005.80467,-434.419483
-670.070006,151,418.65887,406.705719,-670.070006
125.164219,500,448.567514,615.423854,125.164219
-674.447198,186,459.437443,454.924668,-674.447198
355.070189,500,487.946491,657.049429,355.070189
190.383172,373,507.53045,1055.21369,190.383172
540.618619,500,534.545196,591.153583,540.618619
-343.384698,293,552.062582,739.582325,-343.384698
-681.922769,142,560.345955,633.982991,-681.922769
194.204569,60,563.723309,-806.933249,194.204569
-415.287471,235,577.54277,867.897521,-415.287471
-450.069396,220,590.561713,692.525245,-450.069396
-833.492449,85,595.595539,305.384804,-833.492449
322.414252,445,621.230361,1249.904419,322.414252
-265.197358,233,634.572702,1106.590793,-265.197358
-643.582648,124,641.846606,1433.758061,-643.582648
566.96635,489,668.197569,1663.416939,566.96635
-467.942159,177,677.910628,611.777053,-467.942159
-243.847094,270,692.237397,2029.246167,-243.847094
-822.441307,94,697.610906,400.081129,-822.441307
-733.115964,100,703.182821,423.454543,-733.115964
-775.711258,108,709.320745,369.592378,-775.711258
-721.661857,116,716.037069,534.790875,-721.661857
139.908196,398,738.481491,1379.138268,139.908196
-210.920618,258,752.824003,906.392019,-210.920618
-652.632942,113,759.42574,416.390315,-652.632942
-599.262291,138,767.278173,514.331291,-599.262291
-547.90507,212,779.474435,747.07573,-547.90507
-35.752647,391,801.805054,1445.404533,-35.752647
272.113402,500,831.096903,936.512168,272.113402
-519.630467,186,841.41742,753.891899,-519.630467
183.536034,500,869.172916,790.16404,183.536034
-521.972812,240,883.492825,540.222088,-521.972812
-352.548269,211,895.540355,1746.744314,-352.548269
454.54952,500,924.778305,579.616183,454.54952
1183.798611,52,927.756518,-789.437489,1183.798611
980.494402,500,956.873194,838.37842,980.494402
-549.856595,242,971.100232,619.507933,-549.856595
-484.967535,206,983.218817,848.516052,-484.967535
118.101248,304,1000.96103,1084.863973,118.101248
-783.971643,116,1007.856863,509.875151,-783.971643
815.270143,500,1037.334018,1124.717185,815.270143
557.982998,500,1066.45071,706.075357,557.982998
-213.082199,300,1083.13295,1223.377147,-213.082199
-531.459547,203,1095.020598,671.179097,-531.459547
-473.644574,140,1103.138976,507.839625,-473.644574
301.934237,500,1132.524162,144.17725,301.934237
534.626485,500,1161.943806,821.700363,534.626485
510.454239,472,1188.664565,1749.049551,510.454239
-501.448973,169,1198.150214,1720.399382,-501.448973
411.196162,500,1225.763117,830.610747,411.196162
641.174725,500,1254.855005,1104.34242,641.174725
29.253158,445,1280.19393,1211.294501,29.253158
-498.393387,137,1287.887457,1389.291451,-498.393387
1203.578426,56,1291.082693,-750.639042,1203.578426
-419.456835,183,1300.818996,712.818351,-419.456835
-71.743345,413,1323.859225,1450.52857,-71.743345
-139.716955,260,1338.715494,1108.265167,-139.716955
-613.663439,130,1346.064472,570.118484,-613.663439
48.306605,427,1370.604235,1370.166118,48.306605
-737.524037,84,1375.326919,1355.795802,-737.524037
438.536301,368,1396.047643,2388.816059,438.536301
-618.908715,112,1402.532843,470.390521,-618.908715
-665.084954,146,1410.603342,412.718489,-665.084954
-500.312416,320,1428.002095,1276.142244,-500.312416
-585.646589,204,1439.415641,506.886522,-585.646589
-783.757875,93,1444.430333,312.724868,-783.757875
-159.233802,228,1457.338218,1789.216963,-159.233802
-464.544947,191,1467.794809,685.623921,-464.544947
154.958748,55,1471.080497,-873.019424,154.958748
-904.356014,58,1474.50486,166.536855,-904.356014
125.256528,62,1478.121947,-861.873328,125.256528
-734.951811,94,1483.679788,333.85384,-734.951811
324.684172,500,1513.178475,40.92174,324.684172
-283.873603,300,1531.348648,908.01543,-283.873603
-648.921981,106,1537.622292,1345.930458,-648.921981
714.333751,500,1566.725535,727.77888,714.333751
888.869683,500,1594.724735,471.055553,888.869683
-221.65074,276,1609.947483,847.505554,-221.65074
-279.584394,399,1631.732613,1778.132488,-279.584394
447.231576,500,1659.384653,547.257757,447.231576
-535.191199,148,1667.776437,530.565552,-535.191199
-100.964602,281,1683.665492,1026.819131,-100.964602
44.535061,353,1704.130321,2654.056796,44.535061
816.991945,500,1733.440106,916.602282,816.991945
-548.644013,175,1743.691296,748.871632,-548.644013
65.222649,388,1766.8382,922.29624,65.222649
365.763127,500,1796.856648,332.702459,365.763127
1295.75826,78,1801.342008,-693.105148,1295.75826
761.470344,500,1830.095707,-253.933387,761.470344
389.677272,440,1854.151664,1067.192551,389.677272
615.024505,500,1882.297853,885.74951,615.024505
-384.06062,234,1896.221372,791.75621,-384.06062
-675.14503,87,1901.241187,1329.762822,-675.14503
52.985658,443,1927.598388,1282.32256,52.985658
-644.65331,183,1938.838524,667.872394,-644.65331
139.493614,500,1968.460525,411.663568,139.493614
-53.137128,272,1984.423311,2006.884769,-53.137128
-396.445733,356,2004.88464,1268.198507,-396.445733
-19.747871,407,2027.678809,1180.727901,-19.747871
735.106636,500,2055.825275,537.488072,735.106636
472.140845,500,2085.574012,657.728488,472.140845
883.357914,500,2114.624244,460.370528,883.357914
54.851001,500,2143.172066,66.333793,54.851001
816.770605,500,2172.395602,789.257569,816.770605
-464.819591,145,2181.082182,583.648814,-464.819591
-716.472237,126,2188.408007,540.056068,-716.472237
1223.355797,53,2191.300398,-778.779639,1223.355797
71.368178,441,2218.028428,1753.540768,71.368178
660.229359,500,2246.559331,799.447138,660.229359
-780.265858,60,2249.822552,1276.864656,-780.265858
-325.275199,296,2266.335088,1044.889506,-325.275199
205.448644,468,2293.333915,1009.068231,205.448644
676.905759,491,2322.915522,3005.385854,676.905759
323.355195,108,2329.221974,-793.730404,323.355195
1201.01208,57,2332.693039,-758.691145,1201.01208
238.606413,500,2361.82094,442.826628,238.606413
1194.972142,49,2364.482544,-820.442759,1194.972142
833.448431,500,2392.813528,358.114937,833.448431
-427.03601,238,2406.212996,822.467362,-427.03601
-394.920463,301,2424.02968,913.139792,-394.920463
35.761969,299,2441.562358,2098.882395,35.761969
-335.20147,366,2462.867919,913.902012,-335.20147
760.636586,500,2490.6952,874.983937,760.636586
-594.668171,216,2502.764627,988.697412,-594.668171
-604.559299,120,2509.364252,1533.319995,-604.559299
-618.242079,187,2519.728032,628.07764,-618.242079
-253.583505,288,2536.211214,765.132277,-253.583505
671.827386,500,2563.900203,932.022849,671.827386
1218.133169,74,2567.94949,-733.132134,1218.133169
63.874811,442,2593.671494,1024.370189,63.874811
994.007103,500,2625.020423,1131.332119,994.007103
-741.7536,116,2632.069918,1324.933137,-741.7536
766.083823,500,2661.814811,1082.414891,766.083823
-296.624803,272,2678.368403,2116.030007,-296.624803
-855.074408,39,2680.58887,1157.363241,-855.074408
393.18035,125,2687.818677,-584.172117,393.18035
44.14617,471,2714.992013,1307.590631,44.14617
330.673203,391,2737.029465,1342.575842,330.673203
-51.093875,500,2765.149462,-30.261364,-51.093875
95.894807,328,2783.474411,2373.718721,95.894807
843.814226,500,2811.438697,795.608067,843.814226
715.960928,500,2839.668627,992.643305,715.960928
-417.772523,198,2850.880594,762.918804,-417.772523
-469.450317,168,2860.91583,481.166672,-469.450317
-369.019242,251,2875.448792,747.728307,-369.019242
671.559207,500,2904.243371,407.34649,671.559207
679.125373,500,2932.906336,829.465858,679.125373
-90.905937,333,2952.717872,1175.311656,-90.905937
0.177264,392,2975.829265,1459.458439,0.177264
230.61655,500,3005.003502,149.116608,230.61655
190.627417,500,3032.743181,422.841632,190.627417
991.099368,500,3062.116484,226.463513,991.099368
-919.498111,56,3065.1366,148.955933,-919.498111
216.580084,69,3068.931986,-771.310913,216.580084
160.712778,329,3087.027776,2358.226391,160.712778
732.045358,500,3116.589869,614.032598,732.045358
270.385478,500,3144.738973,695.930797,270.385478
433.548868,500,3172.954967,813.017383,433.548868
-224.721811,218,3185.161616,1798.929242,-224.721811
424.01885,125,3192.137394,-565.166695,424.01885
-817.796986,109,3198.216358,449.560718,-817.796986
483.672344,120,3204.811236,-682.17233,483.672344
-426.893757,184,3214.912529,682.106859,-426.893757
567.87431,500,3243.402053,572.656189,567.87431
-880.567066,52,3246.394962,1160.194746,-880.567066
397.371167,500,3274.216369,547.200732,397.371167
977.40471,500,3303.773645,857.341397,977.40471
658.994065,500,3333.298293,1046.907281,658.994065
426.096344,124,3340.652811,-790.883667,426.096344
683.870649,500,3369.756735,1276.482939,683.870649
1029.379715,500,3398.60703,808.623061,1029.379715
57.614693,500,3427.871934,1233.933795,57.614693
-145.191106,247,3441.544723,946.087839,-145.191106
336.017029,485,3469.429132,1644.220283,336.017029
-195.332321,500,3499.742772,1016.425394,-195.332321
-603.286432,123,3507.066791,1446.121718,-603.286432
415.677026,500,3536.807916,487.806312,415.677026
450.193374,109,3543.620418,-635.873559,450.193374
99.077265,367,3565.892434,2401.854402,99.077265
537.937356,493,3706.464997,2456.923424,537.937356
-618.816388,140,3714.630553,342.03717,-618.816388
199.474747,396,3737.086966,1619.874413,199.474747
432.548709,500,3765.198357,511.871432,432.548709
321.739752,133,3772.65012,-498.295875,321.739752
-431.33725,284,3788.22229,903.533659,-431.33725
885.336884,500,3815.780752,684.993088,885.336884
210.707937,500,3845.130569,227.825509,210.707937
372.010673,500,3874.73509,750.402067,372.010673
2438.556825,414,3897.704228,227.335738,2438.556825
581.402552,500,3925.272184,551.343438,581.402552
-146.92888,265,3941.4544,1936.430895,-146.92888
174.720864,433,3965.891177,1804.884777,174.720864
-119.741625,427,3990.181229,1685.881079,-119.741625
430.981905,479,4017.138946,2508.045674,430.981905
790.050344,500,4045.091984,378.111208,790.050344
499.835689,500,4073.445378,278.941325,499.835689
369.872097,97,4078.50623,-719.457406,369.872097
837.891982,500,4106.076238,71.859435,837.891982
-788.029787,113,4112.355455,291.186871,-788.029787
633.511076,500,4140.959764,717.135318,633.511076
235.936983,500,4176.803257,175.589122,235.936983
-742.80481,91,4181.789866,1374.720611,-742.80481
132.352574,407,4204.804378,1531.063464,132.352574
875.816659,500,4233.669396,1062.157235,875.816659
989.320199,500,4263.963684,556.823123,989.320199
783.815272,500,4294.13374,681.210372,783.815272
622.478975,500,4327.985739,1380.69573,622.478975
640.465239,500,4357.379611,738.945092,640.465239
889.266041,500,4387.827021,899.750811,889.266041
654.410619,500,4418.89856,497.449672,654.410619
1239.664109,77,4423.01497,-661.539299,1239.664109
-550.721128,133,4430.633212,381.440794,-550.721128
-917.915472,42,4433.087473,127.054187,-917.915472
460.457554,500,4461.478605,691.876706,460.457554
266.219713,90,4466.510018,-805.180652,266.219713
202.759011,500,4494.661995,808.797017,202.759011
-56.033681,500,4523.015681,679.079143,-56.033681
785.091191,500,4553.016953,971.456205,785.091191
599.676356,500,4583.909715,899.934346,599.676356
-248.055594,190,4595.53893,796.292189,-248.055594
447.489711,500,4624.648217,438.678043,447.489711
695.561402,500,4653.158016,991.664328,695.561402
319.822853,500,4681.710155,732.031548,319.822853
-475.747301,154,4690.460016,557.591087,-475.747301
462.309903,500,4719.102859,-528.965743,462.309903
707.974431,500,4747.117551,401.24414,707.974431
719.98877,500,4776.805655,864.44404,719.98877
-569.507208,272,4793.059971,1295.777916,-569.507208
577.127538,500,4823.618855,715.713358,577.127538
829.062317,500,4853.226256,805.784918,829.062317
55.149912,500,4881.957428,60.584507,55.149912
785.620171,500,4911.804131,631.888764,785.620171
-701.402593,140,4920.080495,396.18498,-701.402593
-306.682341,336,4940.251266,939.934248,-306.682341
185.876204,500,4969.52747,709.390851,185.876204
681.110831,500,4998.08401,523.69291,681.110831
1249.35327,70,5001.883353,-693.7809,1249.35327
926.528712,500,5030.475052,468.929236,926.528712
331.750003,109,5036.596096,-635.840555,331.750003
1150.574178,42,5038.935542,-816.710011,1150.574178
-328.472504,385,5061.131714,764.227142,-328.472504
695.698511,500,5089.572267,861.31355,695.698511
710.542467,500,5118.289059,969.976749,710.542467
206.866891,500,5148.029752,409.480878,206.866891
-724.300659,117,5155.638791,343.233719,-724.300659
282.352121,500,5186.558242,-4.31384,282.352121
785.068226,500,5216.055106,629.073836,785.068226
695.3512,500,5244.857011,1080.120576,695.3512
2215.839735,325,5263.215303,226.492356,2215.839735
1540.675593,490,5291.074227,158.224061,1540.675593
456.482307,500,5320.325409,147.155719,456.482307
116.605917,500,5348.680614,899.769917,116.605917
721.16899,476,5377.651539,2465.206496,721.16899
-115.473865,246,5391.132037,1980.281063,-115.473865
-637.027342,127,5398.385117,1390.385787,-637.027342
-863.012184,44,5400.817337,1193.435738,-863.012184
-807.295361,66,5404.631221,1246.849169,-807.295361
863.995278,500,5432.461709,467.709893,863.995278
841.658063,500,5463.640056,1134.347776,841.658063
1152.496749,46,5466.500263,-829.219328,1152.496749
947.663811,500,5498.528812,755.164773,947.663811
-647.338504,113,5505.704266,470.852363,-647.338504
715.78926,500,5536.901552,353.439952,715.78926
-818.946635,67,5540.981147,268.004599,-818.946635
666.892921,500,5570.063158,739.845677,666.892921
186.785603,474,5596.987628,1664.083961,186.785603
-134.574631,500,5626.592746,248.199582,-134.574631
447.317546,500,5655.34707,229.169523,447.317546
690.705232,435,5680.646519,1186.79221,690.705232
692.113138,500,5709.246572,1018.524582,692.113138
1284.705831,72,5713.520825,-715.031421,1284.705831
-487.73747,217,5725.826642,725.279564,-487.73747
-155.643245,271,5741.759138,1040.528966,-155.643245
609.607659,500,5771.894258,862.418555,609.607659
994.975772,500,5801.747474,779.890075,994.975772
311.082609,500,5831.128489,633.390231,311.082609
-498.314847,242,5845.21262,743.386256,-498.314847
486.429679,500,5874.121953,806.625302,486.429679
550.858671,500,5902.462217,910.21208,550.858671
829.91991,500,5931.484462,1041.478254,829.91991
1209.86426,59,5934.854103,-765.803945,1209.86426
790.617463,500,5964.761206,955.064868,790.617463
223.199142,440,5991.112363,1457.360593,223.199142
606.305442,500,6019.423365,299.694914,606.305442
669.321571,500,6048.092697,878.213555,669.321571
1185.861528,64,6051.635545,-732.336275,1185.861528
276.42816,500,6080.234318,751.505446,276.42816
202.968361,500,6108.846045,593.991038,202.968361
391.576205,500,6137.803089,179.708614,391.576205
207.228843,500,6166.896617,593.793274,207.228843
792.32416,500,6195.668587,512.923514,792.32416
1381.043771,108,6201.803682,-658.467029,1381.043771
429.21361,500,6231.274482,344.247068,429.21361
134.397526,500,6260.145209,783.075744,134.397526
1022.942196,500,6289.121469,787.772983,1022.942196
565.543946,500,6317.505722,536.261073,565.543946
823.502495,500,6347.868129,994.191319,823.502495
-492.7286,333,6368.091222,865.638889,-492.7286
613.921433,500,6398.008812,374.802527,613.921433
230.834976,500,6429.959269,117.034422,230.834976
648.268784,500,6461.763032,858.076362,648.268784
900.327354,500,6490.814859,419.760162,900.327354
248.392456,500,6519.623951,808.429439,248.392456
-815.498556,177,6529.577383,1453.874444,-815.498556
710.548217,500,6557.936776,430.007542,710.548217
-215.658902,500,6587.551219,93.672768,-215.658902
395.391312,500,6617.567225,630.843192,395.391312
736.474445,500,6646.796247,567.088248,736.474445
1354.966018,96,6652.554482,-696.817085,1354.966018
57.474583,362,6675.153846,1357.858889,57.474583
776.653852,500,6705.645559,807.939447,776.653852
684.004141,500,6733.703927,670.168186,684.004141
385.080039,458,6759.591701,2686.886795,385.080039
577.729723,500,6789.224209,1079.448911,577.729723
1243.972241,73,6793.54248,-732.029445,1243.972241
23.00307,500,6823.425972,156.255317,23.00307
1188.354871,54,6826.619478,-809.572731,1188.354871
827.476389,500,6857.601818,963.306687,827.476389
582.458444,500,6888.290506,188.384815,582.458444
106.159779,427,6915.229051,1462.735251,106.159779
1275.977528,75,6919.826501,-680.737645,1275.977528
851.840774,500,6950.352591,595.460172,851.840774
-261.2397,273,6965.881423,976.396009,-261.2397
111.651762,500,6994.742011,676.132026,111.651762
574.831289,500,7024.276708,946.090422,574.831289
124.405292,389,7048.464944,2637.158661,124.405292
-403.515509,156,7057.896494,1573.635792,-403.515509
-72.376215,255,7073.082801,1027.559453,-72.376215
-372.968004,211,7084.567054,806.831313,-372.968004
862.257316,500,7112.74918,665.808208,862.257316
383.362151,97,7117.858954,-696.495331,383.362151
-869.844608,66,7121.445827,235.888314,-869.844608
555.340826,500,7150.834006,1018.456184,555.340826
232.684507,500,7179.624727,751.699883,232.684507
894.40527,500,7212.859723,728.652956,894.40527
-830.764617,56,7216.364251,1228.541733,-830.764617
616.471899,500,7249.515635,870.989999,616.471899
824.769642,500,7277.712999,679.423104,824.769642
1010.385144,500,7306.277713,937.666721,1010.385144
213.512697,456,7332.377866,1488.094555,213.512697
823.657225,500,7360.721284,460.891439,823.657225
754.79387,500,7617.558442,388.184219,754.79387
-364.743984,209,7629.279841,1891.403358,-364.743984
276.169313,500,7657.118353,132.822954,276.169313
582.914416,500,7685.593611,771.062066,582.914416
359.726363,500,7714.084379,922.591944,359.726363
35.884268,452,7742.834558,1288.203907,35.884268
-705.486854,195,7755.689184,413.9455,-705.486854
-112.703453,500,7787.813053,-205.815019,-112.703453
281.198451,112,7794.984429,-652.513201,281.198451
240.994075,118,7802.667902,-771.307574,240.994075
943.457637,500,7842.095291,1067.774457,943.457637
712.3431,500,7871.083188,1059.60549,712.3431
-774.734584,68,7874.946746,1282.503238,-774.734584
72.095446,500,7903.515071,1423.011847,72.095446
295.347108,500,7932.068089,226.932817,295.347108
1237.221836,58,7935.289716,-753.90355,1237.221836
-168.999205,500,7964.09497,483.306404,-168.999205
940.961134,500,7996.45856,798.244264,940.961134
641.044239,500,8028.451191,1222.296399,641.044239
395.74319,500,8058.302664,608.812819,395.74319
123.074304,426,8082.831582,1845.049688,123.074304
694.243463,500,8110.844368,607.737631,694.243463
319.351468,500,8138.996547,179.612512,319.351468
927.711018,500,8167.480795,743.604628,927.711018
33.764571,500,8196.781274,287.058554,33.764571
56.792996,412,8221.8871,2756.508969,56.792996
672.632131,500,8253.478496,274.283209,672.632131
486.659556,500,8284.486296,1114.316526,486.659556
1007.981099,500,8313.054258,888.679859,1007.981099
-204.999481,395,8336.29013,2519.972463,-204.999481
-173.747027,388,8358.370813,1381.469183,-173.747027
-823.177338,44,8360.862712,1173.160559,-823.177338
873.306372,500,8389.024846,956.232688,873.306372
899.134348,500,8422.060166,360.336699,899.134348
840.189331,500,8453.840838,879.99642,840.189331
277.334058,500,8485.428464,248.060884,277.334058
375.351567,500,8517.024431,753.362616,375.351567
753.494762,500,8547.122624,869.563877,753.494762
-785.268254,157,8556.177756,494.854645,-785.268254
716.58756,500,8585.326844,327.73355,716.58756
285.723449,475,8614.170913,1175.927708,285.723449
265.380693,500,8645.568293,1028.346557,265.380693
707.088291,500,8673.948183,1124.270309,707.088291
-518.735582,262,8688.852181,1812.34149,-518.735582
706.365253,500,8719.23318,434.650325,706.365253
817.651141,500,8751.704568,520.75714,817.651141
1240.857718,61,8755.758633,-761.520901,1240.857718
28.668951,500,8786.165268,301.780286,28.668951
900.154634,500,8814.673019,498.560458,900.154634
